case_number,matched_block,score,runner_up,confidence,human_date,matched_date
98.127C,tagged/1998/June_4_1998.txt#14,4.0,-3.0,confident,,1998-06-04
97.226D,tagged/1998/June_4_1998.txt#57,14.0,5.0,confident,1998-01-22,1998-06-04
97.686C,tagged/1998/June_4_1998.txt#2,14.0,14.0,ambiguous,1998-01-08,1998-06-04
98.321C,tagged/1998/June_4_1998.txt#58,14.0,5.0,confident,1998-07-09,1998-06-04
98.226D,tagged/1998/June_4_1998.txt#0,14.0,5.0,confident,1998-06-04,1998-06-04
98.251C,tagged/1998/June_4_1998.txt#1,14.0,8.0,confident,1998-06-04,1998-06-04
98.238ET,tagged/1998/June_4_1998.txt#8,18.0,,confident,1998-06-04,1998-06-04
98.341T,tagged/1998/June_4_1998.txt#9,15.0,,confident,1998-06-04,1998-06-04
97.470E,tagged/1998/June_4_1998.txt#10,13.5,,confident,1998-06-04,1998-06-04
98.136C,tagged/1998/June_4_1998.txt#11,18.5,,confident,1998-06-04,1998-06-04
98.197C,tagged/1998/June_4_1998.txt#12,15.5,,confident,1998-06-04,1998-06-04
98.186C,tagged/1998/June_4_1998.txt#13,17.0,,confident,1998-06-04,1998-06-04
98.127C,tagged/1998/June_4_1998.txt#14,33.5,-14.5,confident,1998-06-04,1998-06-04
98.285C,tagged/1998/June_4_1998.txt#15,14.0,,confident,1998-06-04,1998-06-04
98.307D,tagged/1998/June_4_1998.txt#16,14.0,8.0,confident,1998-06-04,1998-06-04
98.246D,tagged/1998/June_4_1998.txt#17,0.0,,ambiguous,1998-06-04,1998-06-04
98.254D,tagged/1998/June_4_1998.txt#18,14.0,,confident,1998-06-04,1998-06-04
98.274C,tagged/1998/June_4_1998.txt#47,21.5,-0.5,confident,1998-06-04,1998-06-04
98.222D,tagged/1998/June_4_1998.txt#76,15.5,4.5,confident,1998-06-04,1998-06-04
98.377D,tagged/1998/June_4_1998.txt#78,20.0,3.0,confident,1998-06-04,1998-06-04
98.290D/DD,tagged/1998/June_4_1998.txt#22,0.0,,ambiguous,1998-06-04,1998-06-04
98.229D,tagged/1998/June_4_1998.txt#23,0.0,,ambiguous,1998-06-04,1998-06-04
98.227ETZ,tagged/1998/June_4_1998.txt#27,17.0,,confident,1998-06-04,1998-06-04
98.506D/DD,tagged/1998/June_4_1998.txt#31,0.0,0.0,ambiguous,1998-06-04,1998-06-04
98.311D,tagged/1998/June_4_1998.txt#32,15.5,,confident,1998-06-04,1998-06-04
