case_number,meeting_date,request_type,action,cited_permit,dbi_permit_number,dbi_status,dbi_type,dbi_filed,dbi_issued,dbi_completed,days_filed_to_issued,dbi_description,parcel_permits_total,parcel_permits_after_hearing,downstream_permits_sample
97.526D,1998-03-19,discretionary_review,took_dr_and_approved,9714782,9714782,complete,new construction wood frame,1997-08-06,1998-07-06,1999-05-06,334,erect a four story sixteen unit residential bldg,9,8,1998-07 expired: install partial underground pi; 1998-10 complete: work under const 9714782-provi; 1998-11 complete: submit for revision on ventila; 1998-11 complete: fire sprinkler installation & 
98.229D,1998-05-21,discretionary_review,did_not_take_dr,9723790,9723790S,complete,new construction wood frame,1997-11-25,1998-11-23,1999-11-04,363,one stop: erect 4 sotry 3 unit building,7,5,1999-04 expired: auto fire sprinkler/stanpipe i; 1999-04 expired: revison to pa#9723790; 1999-10 expired: install fire alarm system; 1999-11 complete: new roof deck & wind screen to
98.506D/DD,1998-05-28,discretionary_review,continued,9724661,9724661S,complete,new construction wood frame,1997-12-09,1998-11-05,2000-10-02,331,erect three story eighteen unit live/work,10,9,"1999-01 complete: sprinkler system; 1999-06 complete: radiant heating system hydroni; 1999-08 complete: mezzanine bathrooms; 2000-02 complete: garage exhaust shaft, enlarged"
98.226D,1998-06-04,discretionary_review,continued,9722606,9722606S,expired,additions alterations or repairs,1997-11-07,1999-04-20,,529,horizontal addition,11,4,"1999-05 complete: revised roof framing from per ; 1999-08 complete: clarify 2nd fl to roof height ; 2000-04 expired: revision to 9916156, 9909166, ; 2006-07 complete: repair wainscotting, repair po"
98.246D,1998-06-11,discretionary_review,withdrawn,9725973,9725973S,complete,additions alterations or repairs,1997-12-31,1998-09-30,1999-08-10,273,vetical addition,6,2,1998-09 complete: investigatory demo to see fram; 2019-10 issued: re-roofing
98.290D/DD,1998-06-11,discretionary_review,withdrawn,9803645,9803645,complete,additions alterations or repairs,1998-03-04,1998-10-14,1999-04-02,224,horizontal addition,6,1,2004-03 complete: add new front entry foter and 
98.794D,1999-04-15,discretionary_review,continued,9821498,9821498S,reinstated,new construction wood frame,1998-10-21,,,,erect a three story thirty unit live/work bldg,5,4,"1999-09 expired: grading; 2001-04 complete: erect double faced, non electr; 2002-10 withdrawn: erect a three story warehouse; 2021-03 complete: voluntary removal of general a"
98.153D,1999-04-15,discretionary_review,took_dr_and_approved,9801703,9801703S,complete,new construction wood frame,1998-01-30,2000-08-21,2003-09-15,934,erect a three story twelve unit live/work bldg,8,7,"2001-04 expired: alteration to work under const; 2001-06 expired: revision to bpa #9801703s; 2001-11 expired: under const 9801703s, final ad; 2002-08 complete: connection to city & sprinkler"
98.153D,1999-04-15,discretionary_review,took_dr_and_approved,9810703,9810703,complete,otc alterations permit,1998-06-11,1998-06-11,1998-07-28,0,reroofing,16,12,2004-07 complete: renovate kitchen 1 powder room; 2004-07 issued: street space; 2005-01 complete: repair dry rot as per lingruen; 2011-09 issued: street space
2002.0636DD,2003-02-13,discretionary_review,continued,200204224580,200204224580,withdrawn,demolitions,2002-04-22,,,,to demolish single family dwelling,8,6,2003-12 issued: replace and reroof voluntary i; 2004-08 expired: renew 200312122254 for interio; 2004-11 expired: reroofing; 2005-01 expired: basement work to address conc 
2002.0636DD,2003-02-13,discretionary_review,continued,200204224585,200204224585,withdrawn,new construction wood frame,2002-04-22,,,,to erect 3 story 1 family dwelling,8,6,2003-12 issued: replace and reroof voluntary i; 2004-08 expired: renew 200312122254 for interio; 2004-11 expired: reroofing; 2005-01 expired: basement work to address conc 
2002.1310D,2003-03-20,discretionary_review,continued,200210239747,200210239747,complete,additions alterations or repairs,2002-10-23,2003-10-02,2004-12-13,344,merge 2 dwelling units to sfd. no change in building envelope.,15,9,"2003-12 issued: structural revision, revised s; 2003-12 issued: structural revision, revised s; 2004-03 issued: sidewalk repair; 2004-05 issued: street space"
2004.0015D,2004-01-22,discretionary_review,approved_with_conditions,200308142054,200308142054,issued,new construction wood frame,2003-08-14,2004-09-17,,400,to erect 3 story 2 unit residential,4,1,2005-06 issued: additional house number permit
2004.0151D,2004-02-26,discretionary_review,continued,200307078857,200307078857,expired,additions alterations or repairs,2003-07-07,2007-02-15,,1319,revert property to original use as two family dwelling. current designation of 5 units is under protest subject to an appeal pending before the board of appeals,24,21,2007-10 expired: revision to p.a. 200307078857.; 2009-01 complete: increase scope of work @ adden; 2009-02 expired: renew pa# 2003/07/07/8857 to c; 2009-05 expired: temporary shoring for excavati
2003.0873D,2004-02-26,discretionary_review,continued,200212103209,200212103209,issued,additions alterations or repairs,2002-12-10,2006-06-05,,1273,proposed complete structural separation of (e) 4 unit building to accommodate 2 unit condo buildings.,22,10,2008-03 issued: street space permit only.; 2008-03 issued: street space permit only.; 2008-03 issued: street space permit only.; 2008-03 issued: street space permit only.
2003.1015E,2004-04-15,appeal_preliminary_negative_declaration,continued,200309195267,200309195267,complete,additions alterations or repairs,2003-09-19,2005-05-09,2007-06-19,598,penthouse addition. interior remodel of (e) floors. addition to the back of the bldg on (e) floors,22,18,2006-05 complete: install fire sprinkler system ; 2006-05 complete: install fire sprinkler system ; 2006-06 issued: material change on street elev; 2006-06 issued: material change on street elev
2005.1070D,2006-02-09,discretionary_review,continued,200503117348,200503117348,complete,new construction wood frame,2005-03-11,2007-04-20,2008-09-17,770,to erect 3 stories 1 dwelling single family unit.,7,3,2007-08 issued: sidewalk repair; 2007-08 complete: revision to pa #200503117348s1; 2008-03 issued: street space
