case_number,meeting_date,ref,joined_case,pr_record_id,pr_record_type,pr_status,pr_address,pr_open,pr_close,pr_applicant
97.686C,1998-03-05,own,97.686C,1997.686C,CUA,Closed - Withdrawn,"1100 - 1108 GRANT AV, SAN FRANCISCO, CA 94133",1997-10-08,1998-08-10,John Lee Architects/Planners Inc.
97.870C,1998-03-05,own,97.870C,1997.870C,CUA,Closed - Approved,"286 VALENCIA ST, SAN FRANCISCO, CA",1997-12-11,1998-03-05,
97.526D,1998-03-19,own,97.526D,1997.526D,DRM,Closed - DR taken-Approved,"2068 03RD ST IT 1, SAN FRANCISCO, CA 94107",1998-01-26,1998-03-19,
98.127C,1998-04-09,own,98.127C,1998.127C,CUA,Closed - Approved,"1200 09TH AV, SAN FRANCISCO, CA",1998-02-27,1998-06-04,Kensington Investments
98.229D,1998-05-21,own,98.229D,1998.229D,DRM,Closed,"253 26TH AV 0001, SAN FRANCISCO, CA 94121",1998-03-19,1998-06-02,
98.226D,1998-06-04,own,98.226D,1998.226D,DRM,Closed - DR not taken-Approved,"571 JERSEY ST, SAN FRANCISCO, CA 94114",1998-03-16,1998-06-25,
98.251C,1998-06-04,own,98.251C,1998.251C,CUA,Closed - Approved,"152 COLERIDGE ST, SAN FRANCISCO, CA 94110",1998-04-09,1998-06-11,Walden House
98.341T,1998-06-04,own,98.341T,1998.341T,PCA,Closed - Withdrawn,,1998-05-11,1998-09-16,
97.470E,1998-06-04,own,97.470E,1997.470E,ENV,Closed,"475 - 477 BRANNAN ST, SAN FRANCISCO, CA 94103",1997-07-17,2003-01-14,
98.136C,1998-06-04,own,98.136C,1998.136C,CUA,Closed - Approved,"1081 PINE ST 0101, SAN FRANCISCO, CA 94109",1998-03-04,1998-06-04,"Elevation Architects, Inc."
98.197C,1998-06-04,own,98.197C,1998.197C,CUA,Closed - Approved,"180 REDWOOD ST, SAN FRANCISCO, CA",1998-03-24,1998-06-04,TOGO's/Basknin Robbins
98.246D,1998-06-11,own,98.246D,1998.246D,DRM,Closed,"3230 BAKER ST, SAN FRANCISCO, CA 94123",1998-04-03,1998-06-02,2472-74 Francisco Homeowners Assn.
98.290D/DD,1998-06-11,cited,98.290D,1998.290D,DRM,Closed,"253 29TH AV, SAN FRANCISCO, CA 94121",1998-04-21,1998-06-25,
98.086C,1998-07-23,own,98.086C,1998.086C,CUA,Closed,"3000 - 3006 26TH ST, SAN FRANCISCO, CA 94110",1998-02-12,2006-05-26,
98.288,1998-09-24,cited,98.288Z,1998.288Z,MAP,Closed,"946 KANSAS ST, SAN FRANCISCO, CA 94107",1998-05-21,1998-10-26,Michael Stanton Architecture
97.642E,1998-09-24,own,97.642E,1997.642E,ENV,Closed - CEQA Clearance Issued,,1997-09-23,1998-08-15,
98.266E,1999-01-14,own,98.266E,1998.266E,ENV,Closed - CEQA Clearance Issued,,1998-04-14,1999-03-04,Telecom Center - S.F. LLC
98.901C,1999-01-21,own,98.901C,1998.901C,CUA,Closed - Approved,"3100 WEBSTER ST, SAN FRANCISCO, CA 94123",1998-10-28,1999-01-21,
98.778C,1999-01-21,own,98.778C,1998.778C,CUA,Closed - Disapproved,"2080 16TH AV, SAN FRANCISCO, CA 94116",1998-09-17,1999-02-25,
98.455E,1999-03-04,own,98.455E,1998.455E,ENV,Closed - CEQA Clearance Issued,"675 TOWNSEND ST, SAN FRANCISCO, CA 94107",1998-06-15,1999-06-17,Curtis Development and Consulting
98.794D,1999-04-15,own,98.794D,1998.794D,DRM,Closed,"125 NAPOLEON ST, SAN FRANCISCO, CA 94124",1998-01-20,2002-12-17,
98.967C,1999-04-15,own,98.967C,1998.967C,CUA,Closed - Approved,"3132 - 3136 23RD ST, SAN FRANCISCO, CA 94110",1998-11-19,1999-04-15,MEDA
