case_number,meeting_date,request_type,ref_type,ref_value
97.686C,1998-03-05,conditional_use,planning_section,812.49
97.526D,1998-03-19,discretionary_review,permit,9714782
98.127C,1998-04-09,conditional_use_modification,planning_section,711.11
98.229D,1998-05-21,discretionary_review,permit,9723790
98.506D/DD,1998-05-28,discretionary_review,permit,9724661
98.506D/DD,1998-05-28,discretionary_review,cited_case,98.506D
98.226D,1998-06-04,discretionary_review,permit,9722606
98.238ET,1998-06-04,planning_code_amendment,planning_section,1010
98.341T,1998-06-04,planning_code_amendment,planning_section,314.5
98.136C,1998-06-04,conditional_use,planning_section,238
98.136C,1998-06-04,conditional_use,planning_section,790.34
98.197C,1998-06-04,conditional_use,planning_section,243(c)(8)(F)
98.246D,1998-06-11,discretionary_review,permit,9725973
98.290D/DD,1998-06-11,discretionary_review,permit,9803645
98.290D/DD,1998-06-11,discretionary_review,cited_case,98.290D
97.678,1998-06-25,conditional_use,planning_section,271
98.288,1998-09-24,conditional_use,planning_section,209.1(g)
98.288,1998-09-24,conditional_use,cited_case,98.288Z
98.266E,1999-01-14,appeal_preliminary_negative_declaration,planning_section,321
98.901C,1999-01-21,conditional_use,planning_section,185(e)
98.778C,1999-01-21,conditional_use,planning_section,209.3(f)
98.794D,1999-04-15,discretionary_review,permit,9821498
98.967C,1999-04-15,conditional_use,planning_section,209.5(c)
98.153D,1999-04-15,discretionary_review,permit,9801703
98.153D,1999-04-15,discretionary_review,permit,9810703
1999.689CR,2000-01-20,conditional_use,planning_section,234.2
2000.399C,2000-06-22,conditional_use,planning_section,209.6(b)
2000.288E,2000-07-06,appeal_preliminary_negative_declaration,planning_section,985
1999.790C,2000-07-06,conditional_use,planning_section,710.39
1999.668B,2000-07-06,downtown_project,planning_section,309
2000.292C,2000-09-14,conditional_use,planning_section,209.1(h)
2001.0502C,2001-08-16,conditional_use,planning_section,712.83
2001.0502C,2001-08-16,conditional_use,cited_case,4715-4723
2001.0540C,2001-10-18,conditional_use,planning_section,812.82
2001.0540C,2001-10-18,conditional_use,planning_section,812.89
2001.0522C,2001-10-18,conditional_use,planning_section,712.83
2001.0667C,2001-10-18,conditional_use,planning_section,711.43
2001.0667C,2001-10-18,conditional_use,planning_section,790.90
2001.1026C,2002-01-24,conditional_use,planning_section,730.44
2000.1141C,2002-01-24,conditional_use,planning_section,161(j)
2000.1141C,2002-01-24,conditional_use,planning_section,717.39
2000.790KEXCTZM,2002-05-23,downtown_project,planning_section,148
2000.790KEXCTZM,2002-05-23,downtown_project,planning_section,270
2000.790KEXCTZM,2002-05-23,downtown_project,planning_section,309
2002.0636DD,2003-02-13,discretionary_review,permit,200204224580
2002.0636DD,2003-02-13,discretionary_review,permit,200204224585
2002.0636DD,2003-02-13,discretionary_review,cited_case,22.4580
2002.0636DD,2003-02-13,discretionary_review,cited_case,22.4585
2002.1310D,2003-03-20,discretionary_review,permit,200210239747
2002.1310D,2003-03-20,discretionary_review,cited_case,23.9747
2002.1310D,2003-03-20,discretionary_review,cited_case,2625-2627
2002.0038TZ,2003-03-20,text_amendment,planning_section,712
2002.0038TZ,2003-03-20,text_amendment,planning_section,781.10
2002.1084C,2003-03-20,conditional_use,cited_case,80-130
2002.1120C,2003-03-20,conditional_use,planning_section,209.6(b)
2004.0015D,2004-01-22,discretionary_review,permit,200308142054
2004.0015D,2004-01-22,discretionary_review,cited_case,14.2054
2004.0151D,2004-02-26,discretionary_review,permit,200307078857
2004.0151D,2004-02-26,discretionary_review,cited_case,07.8857S
2003.0873D,2004-02-26,discretionary_review,permit,200212103209
2003.0873D,2004-02-26,discretionary_review,cited_case,10.3209
2003.0873D,2004-02-26,discretionary_review,cited_case,2524-2540
2003.1015E,2004-04-15,appeal_preliminary_negative_declaration,permit,200309195267
2003.1015E,2004-04-15,appeal_preliminary_negative_declaration,cited_case,19.5267
2003.1152V,2005-04-14,variance,planning_section,134(a)(1)
2005.1070D,2006-02-09,discretionary_review,permit,200503117348
2005.1070D,2006-02-09,discretionary_review,cited_case,11.7348
2006.0056C,2007-01-18,conditional_use,planning_section,161(j)
2007.0696D,2007-11-08,discretionary_review,permit,200705090766
2007.0696D,2007-11-08,discretionary_review,cited_case,09.0766
2007.0725C,2008-01-10,conditional_use,planning_section,303
2010.0799X,2010-12-16,downtown_project,planning_section,309.1
2011.0294C,2011-07-28,conditional_use,planning_section,711.83
2011.1385CEV,2013-12-12,conditional_use,planning_section,134
2011.1385CEV,2013-12-12,conditional_use,planning_section,303
