item_id,case_number,source_file,pipeline_date,hand_typed_date,status
152,97.686C,raw/1998/min0398-documentid=4751.htm,1998-03-05,1998-06-04,done
502,97.226D,raw/1998/min0698-documentid=4763.htm,1998-06-25,1998-01-22,review
503,98.321C,raw/1998/min0698-documentid=4763.htm,1998-06-25,1998-07-09,review
526,,raw/1998/min0698-documentid=4763.htm,1998-06-25,1998-10-01,done
583,98.086C,raw/1998/min0798-documentid=4767.htm,1998-07-23,1998-11-19,done
2194,2000.353DD,raw/2000/mn200006-documentid=4809.htm,2000-06-15,2000-06-22,done
2389,2000.824C,raw/2000/mn200009-documentid=4815.htm,2000-09-07,20001-09-07,done
3825,1999.455E,raw/2002/index.aspx-page=1058,2002-01-24,2000-08-03,done
4857,2002.1120C,raw/2003/index.aspx-page=1014,2003-03-20,2003-04-10,done
4863,2002.1064D,raw/2003/index.aspx-page=1014,2003-03-20,2003-02-27,flagged
5928,2003.1314C,raw/2004/index.aspx-page=1146,2004-02-26,2004-02-19,flagged
7109,2004.1204D,raw/2005/index.aspx-page=1203,2005-04-21,2005-06-09,flagged
7321,2004.0032D,raw/2005/index.aspx-page=1212,2005-06-02,2004-03-11,flagged
8327,2005.1070D,raw/2006/index.aspx-page=1257,2006-02-09,2006-04-13,done
9739,2007.0461C,raw/2007/index.aspx-page=1345,2007-10-25,2007-09-27,done
9741,2007.0936T,raw/2007/index.aspx-page=1345,2007-10-25,2007-11-08,flagged
9887,2007.0971C,raw/2007/index.aspx-page=1352,2007-11-08,2007-12-20,flagged
9900,2007.0922C,raw/2007/index.aspx-page=1352,2007-11-08,2007-12-13,flagged
10004,2006.0441E,raw/2008/index.aspx-page=1359,2008-09-04,2008-07-17,flagged
10005,2006.0441V,raw/2008/index.aspx-page=1359,2008-09-04,2008-07-17,flagged
10006,2007.0676D,raw/2008/index.aspx-page=1359,2008-09-04,2008-10-23,review
10007,2008.0752D,raw/2008/index.aspx-page=1359,2008-09-04,2008-10-23,review
10011,2007.0189D,raw/2008/index.aspx-page=1359,2008-09-04,2008-11-06,review
10027,2008.0492D,raw/2008/index.aspx-page=1359,2008-09-04,2008-07-24,review
10028,2008.0501DDD,raw/2008/index.aspx-page=1359,2008-09-04,2008-11-06,review
10961,2004.0160EMTUZUU,raw/2008/index.aspx-page=1399,2008-05-15,2008-07-03,flagged
11398,2008.1008T,raw/2009/index.aspx-page=1429,2009-05-21,2008-09-04,review
11464,2008.1014C,raw/2009/index.aspx-page=1433,2009-05-14,2009-04-23,review
11472,2008.1161C,raw/2009/index.aspx-page=1433,2009-05-14,2009-04-23,review
11474,2007.0584C,raw/2009/index.aspx-page=1433,2009-05-14,2007-10-25,review
13165,2010.0556D,raw/2011/index.aspx-page=2865,2011-05-12,2010-12-02,review
13791,2007.0030ECKMRZ,raw/2012/index.aspx-page=3077,2012-03-08,2012-03-22,flagged
14488,2012.0109CV,raw/2013/index.aspx-page=3402,2013-01-24,2013-02-07,flagged
14502,2013.0050CTZ,raw/2013/index.aspx-page=3403,2013-02-07,2013-02-14,flagged
14507,2012.0822C,raw/2013/index.aspx-page=3403,2013-02-07,2012-08-16,review
15834,2013.1517ME,raw/2014/index.aspx-page=3948,2014-10-09,2014-11-20,flagged
15880,2014.0156T,raw/2014/index.aspx-page=3967,2014-11-06,2014-11-20,flagged
15881,2014.0799C,raw/2014/index.aspx-page=3967,2014-11-06,2014-11-20,flagged
15920,2014.0966T,raw/2014/index.aspx-page=3970,2014-11-20,2014-12-11,review
15921,2013.1340D,raw/2014/index.aspx-page=3970,2014-11-20,2014-07-17,review
15931,2013.0647T,raw/2014/index.aspx-page=3970,2014-11-20,2013-06-20,review
15934,2013.0986CX,raw/2014/index.aspx-page=3970,2014-11-20,2014-12-18,flagged
