locality,fips_geoid,platform,api_endpoint_used,earliest_minutes_year,minutes_type_confirmed,continuity,gap_notes,confidence,method,flags
Alameda,0600562,Legistar/Granicus,webapi.legistar.com/v1/alameda,2005,yes,unknown,,high,Legistar webapi /alameda: earliest EventMinutesFile 2005-01-12 (Library Board) — confirms minutes from 2005.,
El Cerrito,0621796,CivicClerk,elcerritoca.api.civicclerk.com,2008,yes,unknown,,high,CivicClerk OData: earliest Minutes-type file 2008-10-06,
San Carlos,0665070,PrimeGov,cityofsancarlos.primegov.com/api,2008,yes,unknown,,high,PrimeGov ListArchivedMeetings: earliest year with a Minutes-type doc = 2008,
Albany,0600674,PrimeGov,albanyca.primegov.com/api,2009,yes,unknown,,high,PrimeGov ListArchivedMeetings: earliest year with a Minutes-type doc = 2009,
Daly City,0617918,CivicClerk,dalycityca.api.civicclerk.com,2009,yes,gaps,,high,CivicClerk OData: earliest Minutes-type file 2009-03-23 (minutes sparse but present),minutes_sparse
Burlingame,0609066,Legistar/Granicus,webapi.legistar.com/v1/burlingameca,2014,yes,continuous,,high,Legistar webapi /burlingameca: earliest EventMinutesFile 2014-07-28 (Planning Commission),
Oakland,0653000,Legistar/Granicus,webapi.legistar.com/v1/oakland,2014,yes,continuous,,high,"Legistar webapi /oakland: earliest EventMinutesFile 2014-09-18. Prior shallow dropdown floor 2000 was the AGENDA/event range, NOT minutes.",supersedes_agenda_floor_2000
Emeryville,0622594,Legistar/Granicus,webapi.legistar.com/v1/emeryville,2015,yes,unknown,,high,Legistar webapi /emeryville: earliest EventMinutesFile 2015-03-03 — confirms 2015.,
Hayward,0633000,Legistar/Granicus,webapi.legistar.com/v1/hayward,2015,yes,continuous,,high,Legistar webapi /hayward: earliest EventMinutesFile 2015-09-02. Prior dropdown floor 2013 was the agenda range.,supersedes_agenda_floor_2013
Sonoma County,06097,Legistar/Granicus,sonoma-county.granicus.com RSS,2015,yes,unknown,,med,Granicus minutes-RSS view_id=2: real Minutes items 2015-2022 (older BoS system; 2022+ moved to new boards UI). Verified minutes >=2015 on that system.,granicus_old_system;true_earliest_maybe_older
Santa Rosa,0670098,Legistar/Granicus,webapi.legistar.com/v1/santa-rosa,2016,yes,continuous,,high,Legistar webapi /santa-rosa: earliest EventMinutesFile 2016-02-02 (City Council). Prior shallow dropdown floor 1999 was AGENDA range.,prior_dropdown_was_agenda
Hercules,0633308,Legistar/Granicus,webapi.legistar.com/v1/hercules,2017,yes,continuous,,high,Legistar webapi /hercules: earliest EventMinutesFile 2017-09-05 (Planning Commission),
Napa,0650258,Legistar/Granicus,webapi.legistar.com/v1/napacity,2017,yes,continuous,,high,Legistar webapi /napacity: earliest EventMinutesFile 2017-03-21 (City Council),
San Mateo County,06081,Legistar/Granicus,webapi.legistar.com/v1/sanmateocounty,2017,yes,continuous,,high,Legistar webapi /sanmateocounty: earliest EventMinutesFile 2017-05-16,
Pinole,0657288,CivicClerk,pinoleca.api.civicclerk.com,2019,yes,unknown,,high,CivicClerk OData: earliest Minutes-type file 2019-01-15 (scanned 450 events asc),
San Mateo,0668252,PrimeGov,sanmateo.primegov.com/api,2019,yes,continuous,,high,"PrimeGov ListArchivedMeetings (slug 'sanmateo'): meetings 2019-2026, Minutes doc-type present from 2019",
Napa County,06055,Legistar/Granicus,webapi.legistar.com/v1/napa,2021,yes,continuous,,high,Legistar webapi /napa: earliest EventMinutesFile 2021-05-04 (Board of Supervisors),
Contra Costa County,06013,Legistar/Granicus,webapi.legistar.com/v1/contra-costa,2023,yes,continuous,,high,Legistar webapi /contra-costa: earliest EventMinutesFile 2023-09-05,
Pleasanton,0657792,CivicClerk,pleasantonca.api.civicclerk.com,2023,yes,continuous,,high,CivicClerk OData: earliest Minutes 2023-11-07; CivicClerk archive itself starts 2023,civicclerk_migration_2023
Alameda County,06001,custom_CMS,https://www.acgov.org/cda/planning/agendas.htm,unknown,no_api,unknown,,low,Custom CMS: no queryable API for archive depth,custom_cms_no_api
American Canyon,0601640,CivicWeb,cityofamericancanyon.civicweb.net,unknown,no_api,unknown,,low,CivicWeb portal: no readable minutes-depth signal in a shallow API attempt,civicweb_no_readable_depth
Antioch,0602252,CivicPlus,https://www.antiochca.gov/government/agendas-and-minutes/,unknown,no_api,unknown,,low,CivicPlus AgendaCenter: no queryable document-type/date API for archive depth (year accordion is JS-rendered),civicplus_no_depth_api
Atherton,0603092,CivicPlus,https://www.athertonca.gov/641/Agendas-Minutes,unknown,no_api,unknown,,low,CivicPlus AgendaCenter: no queryable document-type/date API for archive depth (year accordion is JS-rendered),civicplus_no_depth_api
Brentwood,0608142,eScribe,pub-brentwood.escribemeetings.com,unknown,no_api,unknown,,low,eScribe reachable; year selector goes to ~2002 but minutes-TYPE not verifiable via a clean API (no document-type/date endpoint),escribe_archive_2002_minutes_type_unverified
Brisbane,0608310,MunicodeMeetings,brisbaneca.org,unknown,no_api,unknown,,low,Municode Meetings (JS app): no clean public document-type/date API for archive depth,municode_meetings_no_api
