Jurisdiction,County,Planning Period,Record Type,Date Received,Review Status,Reviewed Date,Compliance Status,COG,CYCLE
ADELANTO,San Bernardino,6L,Adopted,2024-08-22 00:00:00.0000000,In,2024-10-18 00:00:00.0000000,In,Southern California Assn. of Govts.,6th Cycle
AGOURA HILLS,Los Angeles,6L,Adopted,2022-08-15 00:00:00.0000000,In,2022-10-12 00:00:00.0000000,In,Southern California Assn. of Govts.,6th Cycle
ALAMEDA,Alameda,6S,Adopted,2022-11-16 00:00:00.0000000,In,2022-12-20 00:00:00.0000000,In,Assn. of Bay Area Govts.,6th Cycle
ALAMEDA COUNTY,Alameda,6S,Adopted,2024-12-19 08:19:00.0000000,In,2024-12-31 12:00:00.0000000,In,Assn. of Bay Area Govts.,6th Cycle
ALBANY,Alameda,6S,Adopted,2023-08-16 00:00:00.0000000,In,2023-09-08 00:00:00.0000000,In,Assn. of Bay Area Govts.,6th Cycle
ALHAMBRA,Los Angeles,6L,Adopted,2024-08-28 00:00:00.0000000,In,2024-09-13 00:00:00.0000000,In,Southern California Assn. of Govts.,6th Cycle
ALISO VIEJO,Orange,6L,Adopted,2024-06-24 00:00:00.0000000,In,2024-06-24 00:00:00.0000000,In,Southern California Assn. of Govts.,6th Cycle
ALPINE COUNTY,Alpine,7A,Subsequent Draft,2024-12-02 16:26:00.0000000,Out,2025-01-31 12:00:00.0000000,Out,Alpine County Jurisdictions,7th Cycle
ALTURAS,Modoc,7A,New Cycle,2024-06-30 00:00:00.0000000,Due,2024-06-30 00:00:00.0000000,Out,Modoc County Jurisdictions,7th Cycle
AMADOR,Amador,6G,Adopted,2026-01-27 08:25:00.0000000,In,2026-03-23 12:00:00.0000000,In,Central Sierra Planning Council and Economic Development District,6th Cycle
AMADOR COUNTY,Amador,6G,Adopted,2024-09-26 00:00:00.0000000,In,2024-09-27 00:00:00.0000000,In,Central Sierra Planning Council and Economic Development District,6th Cycle
AMERICAN CANYON,Napa,6S,Adopted,2023-05-01 00:00:00.0000000,In,2023-06-30 00:00:00.0000000,In,Assn. of Bay Area Govts.,6th Cycle
ANAHEIM,Orange,6L,Adopted,2025-09-25 13:17:00.0000000,In,2025-10-14 12:00:00.0000000,In,Southern California Assn. of Govts.,6th Cycle
ANDERSON,Shasta,6E,Adopted,2020-07-24 00:00:00.0000000,In,2020-08-04 00:00:00.0000000,In,Shasta County Jurisdictions,6th Cycle
ANGELS CAMP,Calaveras,6A,Adopted,2019-10-28 00:00:00.0000000,In,2019-12-06 00:00:00.0000000,In,Calaveras County Jurisdictions,6th Cycle
ANTIOCH,Contra Costa,6S,Adopted,2023-08-15 00:00:00.0000000,In,2023-10-12 00:00:00.0000000,In,Assn. of Bay Area Govts.,6th Cycle
APPLE VALLEY,San Bernardino,6L,Adopted,2023-02-22 00:00:00.0000000,In,2023-02-24 00:00:00.0000000,In,Southern California Assn. of Govts.,6th Cycle
ARCADIA,Los Angeles,6L,Adopted,2023-12-12 00:00:00.0000000,In,2024-02-09 00:00:00.0000000,In,Southern California Assn. of Govts.,6th Cycle
ARCATA,Humboldt,6C,Adopted,2019-12-23 00:00:00.0000000,In,2020-01-28 00:00:00.0000000,In,Humbolt County Assn of Govts.,6th Cycle
ARROYO GRANDE,San Luis Obispo,6F,Adopted,2021-02-10 00:00:00.0000000,In,2021-05-05 00:00:00.0000000,In,San Luis Obispo Counsil of Govts.,6th Cycle
ARTESIA,Los Angeles,6L,Adopted,2026-02-10 11:51:00.0000000,In,2026-03-05 12:00:00.0000000,In,Southern California Assn. of Govts.,6th Cycle
ARVIN,Kern,6U,Adopted,2025-03-05 08:50:00.0000000,In,2025-03-27 12:00:00.0000000,In,Kern Council of Govts.,6th Cycle
ATASCADERO,San Luis Obispo,6F,Adopted,2020-12-09 00:00:00.0000000,In,2021-01-12 00:00:00.0000000,In,San Luis Obispo Counsil of Govts.,6th Cycle
ATHERTON,San Mateo,6S,Adopted,2025-03-06 12:34:00.0000000,In,2025-05-05 12:00:00.0000000,In,Assn. of Bay Area Govts.,6th Cycle
ATWATER,Merced,6V,Subsequent Draft,2026-04-10 11:31:00.0000000,In Review,,Out,Merced County Assn. of Govts.,6th Cycle
AUBURN,Placer,6K,Adopted,2021-06-03 00:00:00.0000000,In,2021-08-26 00:00:00.0000000,In,Sacramento Area Council of Govts.,6th Cycle
AVALON,Los Angeles,6L,Adopted,2022-09-29 00:00:00.0000000,In,2022-10-12 00:00:00.0000000,In,Southern California Assn. of Govts.,6th Cycle
AVENAL,Kings,6V,Adopted,2026-05-15 09:18:00.0000000,In,2026-06-04 12:00:00.0000000,In,Kings County Assn. of Govts.,6th Cycle
AZUSA,Los Angeles,6L,Adopted,2023-06-23 00:00:00.0000000,In,2023-07-27 00:00:00.0000000,In,Southern California Assn. of Govts.,6th Cycle
BAKERSFIELD,Kern,6U,Adopted,2025-09-25 07:29:00.0000000,In,2025-11-24 12:00:00.0000000,In,Kern Council of Govts.,6th Cycle
BALDWIN PARK,Los Angeles,6L,Adopted,2023-07-20 00:00:00.0000000,In,2023-08-24 00:00:00.0000000,In,Southern California Assn. of Govts.,6th Cycle
BANNING,Riverside,6L,Adopted,2024-07-16 00:00:00.0000000,In,2024-07-26 00:00:00.0000000,In,Southern California Assn. of Govts.,6th Cycle
BARSTOW,San Bernardino,6L,Adopted,2024-11-13 09:33:00.0000000,In,2024-12-20 12:00:00.0000000,In,Southern California Assn. of Govts.,6th Cycle
BEAUMONT,Riverside,6L,Adopted,2022-10-18 00:00:00.0000000,In,2022-12-12 00:00:00.0000000,In,Southern California Assn. of Govts.,6th Cycle
BELL,Los Angeles,6L,Adopted,2022-10-13 00:00:00.0000000,In,2022-10-15 00:00:00.0000000,In,Southern California Assn. of Govts.,6th Cycle
BELL GARDENS,Los Angeles,6L,Adopted,2022-07-27 00:00:00.0000000,In,2022-08-18 00:00:00.0000000,In,Southern California Assn. of Govts.,6th Cycle
BELLFLOWER,Los Angeles,6L,Adopted,2022-07-21 00:00:00.0000000,In,2022-09-09 00:00:00.0000000,In,Southern California Assn. of Govts.,6th Cycle
BELMONT,San Mateo,6S,Adopted,2024-09-11 00:00:00.0000000,In,2024-10-16 00:00:00.0000000,In,Assn. of Bay Area Govts.,6th Cycle
BELVEDERE,Marin,6S,Adopted,2026-02-10 07:21:00.0000000,In,2026-02-26 12:00:00.0000000,In,Assn. of Bay Area Govts.,6th Cycle
BENICIA,Solano,6S,Adopted,2024-03-05 00:00:00.0000000,In,2024-04-04 00:00:00.0000000,In,Assn. of Bay Area Govts.,6th Cycle
BERKELEY,Alameda,6S,Adopted,2023-01-24 00:00:00.0000000,In,2023-02-28 00:00:00.0000000,In,Assn. of Bay Area Govts.,6th Cycle
BEVERLY HILLS,Los Angeles,6L,Adopted,2024-03-19 00:00:00.0000000,In,2024-05-01 00:00:00.0000000,In,Southern California Assn. of Govts.,6th Cycle
BIG BEAR LAKE,San Bernardino,6L,Adopted,2022-09-23 00:00:00.0000000,In,2022-10-10 00:00:00.0000000,In,Southern California Assn. of Govts.,6th Cycle
BIGGS,Butte,6Q,Adopted,2024-06-24 00:00:00.0000000,In,2024-07-10 00:00:00.0000000,In,Butte County Assn. of Govts.,6th Cycle
BISHOP,Inyo,6H,Adopted,2022-06-09 00:00:00.0000000,In,2022-08-01 00:00:00.0000000,In,Inyo County Jurisdictions,6th Cycle
BLUE LAKE,Humboldt,6C,Adopted,2025-12-29 08:39:00.0000000,In,2025-12-30 12:00:00.0000000,In,Humbolt County Assn of Govts.,6th Cycle
BLYTHE,Riverside,6L,Adopted,2024-08-15 00:00:00.0000000,In,2024-08-29 00:00:00.0000000,In,Southern California Assn. of Govts.,6th Cycle
BRADBURY,Los Angeles,6L,Adopted,2023-11-08 00:00:00.0000000,In,2024-01-03 00:00:00.0000000,In,Southern California Assn. of Govts.,6th Cycle
BRAWLEY,Imperial,6L,Adopted,2023-08-23 00:00:00.0000000,In,2023-10-16 00:00:00.0000000,In,Southern California Assn. of Govts.,6th Cycle
BREA,Orange,6L,Adopted,2022-08-17 00:00:00.0000000,In,2022-09-08 00:00:00.0000000,In,Southern California Assn. of Govts.,6th Cycle
BRENTWOOD,Contra Costa,6S,Adopted,2024-02-14 00:00:00.0000000,In,2024-04-12 00:00:00.0000000,In,Assn. of Bay Area Govts.,6th Cycle
BRISBANE,San Mateo,6S,Adopted,2023-05-19 00:00:00.0000000,In,2023-05-25 00:00:00.0000000,In,Assn. of Bay Area Govts.,6th Cycle
BUELLTON,Santa Barbara,6R,Adopted,2025-06-17 15:04:00.0000000,In,2025-07-08 12:00:00.0000000,In,Santa Barbara County of Govts.,6th Cycle
BUENA PARK,Orange,6L,Adopted,2024-02-14 00:00:00.0000000,In,2024-02-29 00:00:00.0000000,In,Southern California Assn. of Govts.,6th Cycle
BURBANK,Los Angeles,6L,Adopted,2022-09-28 00:00:00.0000000,In,2022-10-07 00:00:00.0000000,In,Southern California Assn. of Govts.,6th Cycle
BURLINGAME,San Mateo,6S,Adopted,2024-03-15 00:00:00.0000000,In,2024-03-20 00:00:00.0000000,In,Assn. of Bay Area Govts.,6th Cycle
BUTTE COUNTY,Butte,6Q,Adopted,2023-01-25 00:00:00.0000000,In,2023-02-22 00:00:00.0000000,In,Butte County Assn. of Govts.,6th Cycle
CALABASAS,Los Angeles,6L,Adopted,2022-04-01 00:00:00.0000000,In,2022-04-25 00:00:00.0000000,In,Southern California Assn. of Govts.,6th Cycle
CALAVERAS COUNTY,Calaveras,6A,Adopted,2019-09-13 00:00:00.0000000,In,2019-10-22 00:00:00.0000000,In,Calaveras County Jurisdictions,6th Cycle
CALEXICO,Imperial,6L,Subsequent Draft,2022-07-13 00:00:00.0000000,Out,2022-09-09 00:00:00.0000000,Out,Southern California Assn. of Govts.,6th Cycle
CALIFORNIA CITY,Kern,6U,Adopted,2026-06-01 13:01:00.0000000,In Review,,Out,Kern Council of Govts.,6th Cycle
CALIMESA,Riverside,6L,Adopted,2024-08-27 00:00:00.0000000,In,2024-10-04 00:00:00.0000000,In,Southern California Assn. of Govts.,6th Cycle
CALIPATRIA,Imperial,6L,Adopted,2022-08-05 00:00:00.0000000,In,2022-09-30 00:00:00.0000000,In,Southern California Assn. of Govts.,6th Cycle
CALISTOGA,Napa,6S,Adopted,2023-08-10 00:00:00.0000000,In,2023-10-09 00:00:00.0000000,In,Assn. of Bay Area Govts.,6th Cycle
CAMARILLO,Ventura,6L,Adopted,2023-03-23 00:00:00.0000000,In,2023-04-14 00:00:00.0000000,In,Southern California Assn. of Govts.,6th Cycle
CAMPBELL,Santa Clara,6S,Adopted,2023-04-26 00:00:00.0000000,In,2023-05-30 00:00:00.0000000,In,Assn. of Bay Area Govts.,6th Cycle
CANYON LAKE,Riverside,6L,Adopted,2025-12-15 07:27:00.0000000,In,2025-12-31 12:00:00.0000000,In,Southern California Assn. of Govts.,6th Cycle
CAPITOLA,Santa Cruz,6T,Adopted,2024-08-27 00:00:00.0000000,In,2024-08-30 00:00:00.0000000,In,Assn. of Montery Bay Area Govts.,6th Cycle
CARLSBAD,San Diego,6I,Adopted,2021-04-15 00:00:00.0000000,In,2021-07-13 00:00:00.0000000,In,San Diego Assn. of Govts.,6th Cycle
CARMEL,Monterey,6T,Subsequent Draft,2026-03-30 10:07:00.0000000,In,2026-05-28 12:00:00.0000000,In,Assn. of Montery Bay Area Govts.,6th Cycle
CARPINTERIA,Santa Barbara,6R,Adopted,2024-12-12 07:34:00.0000000,In,2025-01-30 12:00:00.0000000,In,Santa Barbara County of Govts.,6th Cycle
CARSON,Los Angeles,6L,Adopted,2025-06-18 10:37:00.0000000,In,2025-06-25 12:00:00.0000000,In,Southern California Assn. of Govts.,6th Cycle
CATHEDRAL,Riverside,6L,Adopted,2023-07-10 00:00:00.0000000,In,2023-07-26 00:00:00.0000000,In,Southern California Assn. of Govts.,6th Cycle
CERES,Stanislaus,6U,Adopted,2025-03-26 12:13:00.0000000,In,2025-05-22 12:00:00.0000000,In,Stanislaus Council of Govts.,6th Cycle
CERRITOS,Los Angeles,6L,Adopted,2022-07-29 00:00:00.0000000,In,2022-09-01 00:00:00.0000000,In,Southern California Assn. of Govts.,6th Cycle
CHICO,Butte,6Q,Adopted,2023-09-25 00:00:00.0000000,In,2023-11-06 00:00:00.0000000,In,Butte County Assn. of Govts.,6th Cycle
CHINO,San Bernardino,6L,Adopted,2024-12-06 09:11:00.0000000,In,2024-12-26 12:00:00.0000000,In,Southern California Assn. of Govts.,6th Cycle
CHINO HILLS,San Bernardino,6L,Adopted,2022-08-17 00:00:00.0000000,In,2022-09-08 00:00:00.0000000,In,Southern California Assn. of Govts.,6th Cycle
CHOWCHILLA,Madera,6V,Adopted,2024-09-11 00:00:00.0000000,In,2024-10-04 00:00:00.0000000,In,Non COG- HCD-COG,6th Cycle
CHULA VISTA,San Diego,6I,Adopted,2022-08-29 00:00:00.0000000,In,2022-10-28 00:00:00.0000000,In,San Diego Assn. of Govts.,6th Cycle
