locality,fips_geoid,minutes_url,earliest_minutes_year,continuity,gap_notes,type_basis,confidence,method,flags
San Francisco,0667000,https://sfplanning.org/cpc-hearing-archives,1998,continuous,Known from the project pipeline (scrape→parse covers 1998-present).,typed_minutes,high,"reference (SF Planning CPC hearing archives, project-verified)",reference
Santa Rosa,0670098,https://santa-rosa.legistar.com/Calendar.aspx,2016,continuous,Legistar calendar time-period dropdown 1999-2027 with Minutes column; minutes for 1999 not directly verified; dropdown is all-bodies not PC-specific,type_ambiguous,high,[API depth-read] (supersedes prior dropdown floor 1999) Legistar webapi /santa-rosa: earliest EventMinutesFile 2016-02-02 (City Council). Prior sh,calendar_all_bodies;minutes_per_year_unverified;api_verified
Oakland,0653000,https://oakland.legistar.com/,2014,continuous,Legistar dropdown 2000-2026; Minutes/Accessible Minutes links in recent rows; minutes at 2000 not directly confirmed,typed_minutes,high,[API depth-read] (supersedes prior dropdown floor 2000) Legistar webapi /oakland: earliest EventMinutesFile 2014-09-18. Prior shallow dropdown flo,oldest_year_minutes_unverified;api_verified
Hillsborough,0633798,https://www.hillsborough.net/AgendaCenter,2004,unknown,CivicPlus; Architecture/Design Review Board year options 2004-2026; Council dropdown 2012-2026; PC body not isolated; minutes-vs-agenda at early years not confirmed,type_ambiguous,low,shallow_webfetch,body_mismatch;dropdown_range_minutes_not_confirmed
Alameda,0600562,https://alameda.legistar.com/,2005,continuous,Legistar Year dropdown lists 2005-2027 contiguously; per-year minutes not audited,type_ambiguous,high,[API depth-read] Legistar webapi /alameda: earliest EventMinutesFile 2005-01-12 (Library Board) — confirms ,minutes_type_unverified;api_verified
Solano County,06095,https://solano.legistar.com/,2005,continuous,"Legistar Calendar year dropdown 2005-2026; BoS Minutes links present in 2005 (8/2,9/13,10/4) and 2006; some individual meetings 'Not available' but year-level coverage continuous",typed_minutes,high,legistar_calendar_year_filter,
Walnut Creek,0683346,https://walnutcreek.granicus.com/ViewPublisher.php?view_id=2,2006,unknown,Granicus: 'View Minutes' present for 2006 Council; fetch surfaced 2006-2009 slice; continuity to present not verified,typed_minutes,med,web_fetch,range_slice_floor
Piedmont,0656938,https://piedmont.ca.gov/government/commissions___committees/planning_commission/minutes_archive,2007,unknown,"PC minutes-archive page note: 'Archiving initiated on October 1, 2007'; document table JS-loaded",typed_minutes,med,minutes-archive page note: archiving initiated Oct 1 2007,list_js_rendered
Corte Madera,0616462,https://www.cortemadera.gov/AgendaCenter,2008,continuous,CivicPlus Town Council dropdown 2008-2026 no gaps; mixes agendas+minutes so minutes at 2008-2010 not separately confirmed,type_ambiguous,low,civicplus_year_dropdown,minutes_vs_agenda_unconfirmed_at_floor
Rohnert Park,0662546,https://rpcity.granicus.com/ViewPublisher.php?view_id=4,2009,continuous,Year dropdown 2009-2026; Minutes links verified only 2024-2026; 2009-2023 minutes inferred from dropdown but not directly seen,type_ambiguous,low,granicus_viewpublisher_year_dropdown,earliest_dropdown_year;minutes_confirmed_only_2024plus;body_unconfirmed
San Mateo County,06081,https://sanmateocounty.legistar.com,2017,continuous,"Legistar year dropdown 2009-2026 no gaps; default view no minutes, so minutes at 2009 not directly confirmed",type_ambiguous,high,[API depth-read] (supersedes prior dropdown floor 2009) Legistar webapi /sanmateocounty: earliest EventMinutesFile 2017-05-16,dropdown_range_minutes_not_confirmed;api_verified
Napa,0650258,https://napacity.legistar.com/Calendar.aspx,2017,continuous,Legistar Year dropdown 2010-2027 contiguous; no individual Minutes link confirmed for 2010 (current view 'Not available'); earliest MINUTES year not separately verified,type_ambiguous,high,[API depth-read] (supersedes prior dropdown floor 2010) Legistar webapi /napacity: earliest EventMinutesFile 2017-03-21 (City Council),minutes_not_individually_verified;dropdown_based;api_verified
