locality,type,county,fips_geoid,regulating_body,minutes_platform,minutes_url,minutes_access,minutes_posted,zoning_host,zoning_url,zoning_access,zoning_structure,height_in_code,in_nzlud,minutes_solution_class,zoning_solution_class,tractability_tier,confidence,notes
Alameda,city,Alameda,0600562,Planning Board,Granicus/Legistar,https://alameda.legistar.com/,clean,yes,Municode,https://library.municode.com/ca/alameda,clean,unknown,unknown,unknown,granicus_family_clean,municode_api,clean,high,Regulating body is the Planning Board (not Planning Commission). Minutes via alameda.legistar.com. Zoning = Municode Ch.30.
Albany,city,Alameda,0600674,Planning & Zoning Commission,PrimeGov,https://albanyca.primegov.com/Portal/Meeting?meetingTemplateId=10328,clean,yes,eCode360,https://ecode360.com/37939277,clean,unknown,unknown,unknown,primegov_portal,ecode360_clean,needs_adapter,med,PrimeGov portal; council video also on Granicus. Zoning eCode360 Ch.20.
Berkeley,city,Alameda,0606000,Planning Commission,custom CMS,https://berkeleyca.gov/your-government/public-records/berkeley-municipal-code,unknown,yes,public.law,https://berkeley.municipal.codes/BMC/23,clean,unknown,unknown,unknown,custom_cms,publiclaw_clean,needs_adapter,med,REVIEW: minutes = custom CMS PDFs + Laserfiche Records Online; Granicus council video only. to_verify actual PC minutes index. Zoning public.law Title 23.
Dublin,city,Alameda,0620018,Planning Commission,CivicPlus,https://www.dublin.ca.gov/1604/Meetings-Agendas-Minutes-Video-on-Demand,clean,yes,CodePublishing,https://www.codepublishing.com/CA/Dublin/,clean,unknown,unknown,unknown,civicplus_clean,codepublishing_clean,needs_adapter,med,CivicPlus site; agenda PDFs via Granicus S3; Laserfiche WebLink doc repo. to_verify CivicPlus Akamai. Zoning CodePublishing Title 8. [Akamai sweep 2026-06-08: clean 200]
Emeryville,city,Alameda,0622594,Planning Commission,Granicus/Legistar,https://emeryville.legistar.com/DepartmentDetail.aspx?ID=33956,clean,yes,eCode360,https://ecode360.com/EM4426,clean,unknown,unknown,unknown,granicus_family_clean,ecode360_clean,clean,high,Legistar minutes. Zoning eCode360 Title 9.
Fremont,city,Alameda,0626000,Planning Commission,CivicPlus,https://www.fremont.gov/government/agenda-center,akamai_403,unknown,CodePublishing,https://www.codepublishing.com/CA/Fremont/,clean,unknown,unknown,yes,civicplus_akamai,codepublishing_clean,access_blocked,high,PILOT: CivicPlus AgendaCenter behind Akamai 403. Zoning CodePublishing Title 18. in_nzlud=yes (pilot). [Akamai sweep 2026-06-08: akamai_403 confirmed]
Hayward,city,Alameda,0633000,Planning Commission,Granicus/Legistar,https://hayward.legistar.com/Calendar.aspx,clean,yes,Municode,https://library.municode.com/ca/hayward/codes/municipal_code,clean,unknown,unknown,unknown,granicus_family_clean,municode_api,clean,high,Legistar minutes. Zoning Municode Ch.10.
Livermore,city,Alameda,0641992,Planning Commission,Granicus/Legistar,https://www.livermoreca.gov/departments/city-clerk/city-council-meeting-calendar-agendas,clean,yes,CodePublishing,https://www.codepublishing.com/CA/Livermore/,clean,unknown,unknown,unknown,granicus_family_clean,codepublishing_clean,clean,med,Granicus GovAccess CMS; PDFs via Granicus S3. Zoning CodePublishing Development Code (form-based).
Newark,city,Alameda,0650916,Planning Commission,unknown,https://www.newarkca.gov/departments/city-manager-s-office/meetings-agendas-minutes,unknown,yes,Municode,https://library.municode.com/ca/newark,clean,unknown,unknown,unknown,unknown,municode_api,unknown,low,to_verify: 'AgendaQuick' (Destiny Hosted) referenced; platform unknown. Zoning Municode Title 17.
Oakland,city,Alameda,0653000,Planning Commission,Granicus/Legistar,https://oakland.legistar.com/,clean,yes,Municode,https://library.municode.com/ca/oakland/codes/planning_code,clean,unknown,unknown,no,granicus_family_clean,municode_api,clean,high,PILOT: Legistar+Granicus; historical depth to_verify. Zoning Municode Planning Code Title 17. in_nzlud=no (pilot).
Piedmont,city,Alameda,0656938,Planning Commission,custom CMS,https://piedmont.ca.gov/government/commissions___committees/planning_commission/minutes_archive,clean,yes,city site,https://piedmont.ca.gov/services___departments/planning___building/about_planning_/zoning_ordinance,clean,unknown,unknown,unknown,custom_cms,city_site,needs_adapter,med,CivicLive CMS PDFs; Granicus AgendaViewer for video. Zoning Ch.17 as PDF on city site.
Pleasanton,city,Alameda,0657792,Planning Commission,CivicClerk,https://pleasantonca.portal.civicclerk.com/,js_shell,yes,eCode360,https://ecode360.com/43033789,clean,unknown,unknown,unknown,civicclerk_modern_api,ecode360_clean,needs_adapter,high,CivicClerk portal. Zoning Title 18 on eCode360 (QCode mirror). minutes_access js_shell (modern API).
San Leandro,city,Alameda,0668084,Planning Commission and Board of Zoning Adjustments,Granicus/Legistar,https://sanleandro.legistar.com/,clean,yes,eCode360,https://ecode360.com/44550340,clean,unknown,unknown,unknown,granicus_family_clean,ecode360_clean,clean,high,'Meeting Central' = Legistar backend + Granicus video. Zoning eCode360.
Union City,city,Alameda,0681204,Planning Commission,NovusAgenda,https://unioncity.novusagenda.com/agendapublic/,unknown,yes,eCode360,https://ecode360.com/UN5025,clean,unknown,unknown,unknown,novusagenda_portal,ecode360_clean,needs_adapter,med,NovusAgenda historic; to_verify migration to 'OneMeeting' Sept 2025 + CivicPlus AgendaCenter. Zoning eCode360 Title 18.
Alameda County,county,Alameda,06001,Alameda County Planning Commission (Board of Supervisors adopts),custom CMS,https://www.acgov.org/cda/planning/agendas.htm,unknown,yes,Municode,https://library.municode.com/ca/alameda_county/codes/code_of_ordinances?nodeId=TIT17ZO,clean,per_district_sections,unknown,unknown,custom_cms,municode_api,needs_adapter,med,County CDA Planning; minutes on custom acgov.org app. Zoning Municode Title 17 (per-district).
Antioch,city,Contra Costa,0602252,Planning Commission,CivicPlus,https://www.antiochca.gov/government/agendas-and-minutes/,unknown,yes,American Legal,https://codelibrary.amlegal.com/codes/antioch/latest/overview,unknown,per_district_sections,unknown,unknown,civicplus_clean,amlegal_or_ecode_403,needs_adapter,med,"CivicEngage AgendaCenter + direct PDFs. to_verify CivicPlus Akamai; amlegal 403. Zoning Title 9 on American Legal. [Akamai sweep 2026-06-08: stale URL 404 (Cloudflare, not Akamai); to_verify correct agenda URL]"
Brentwood,city,Contra Costa,0608142,Planning Commission,eScribe,https://pub-brentwood.escribemeetings.com/,clean,yes,eCode360,https://ecode360.com/BR3611,clean,per_district_sections,unknown,unknown,escribe_portal,ecode360_clean,needs_adapter,med,eScribe current; legacy IQM2 (now Granicus) for historical. Zoning eCode360; to_verify client slug.
Clayton,city,Contra Costa,0613882,Planning Commission,custom CMS,https://claytonca.gov/government/commissions-and-committees/,clean,yes,Municode,https://library.municode.com/ca/clayton/codes/municipal_code?nodeId=TIT17ZO,clean,per_district_sections,unknown,unknown,custom_cms,municode_api,needs_adapter,med,Bare PDFs under claytonca.gov/fc/agendas/planning/ (no platform). Zoning Municode Title 17.
Concord,city,Contra Costa,0616000,Planning Commission,Hyland OnBase,https://stream.ci.concord.ca.us/OnBaseAgendaOnline/,js_shell,yes,CodePublishing,https://www.codepublishing.com/CA/Concord/,clean,per_district_sections,unknown,unknown,onbase_portal,codepublishing_clean,needs_adapter,med,Hyland OnBase AgendaOnline; also a CivicEngage AgendaCenter. to_verify which holds PC minutes. Zoning CodePublishing Title 18.
Danville,town,Contra Costa,0617988,Planning Commission,Granicus/Legistar,https://danville-ca.granicus.com/ViewPublisher.php?view_id=9,clean,yes,American Legal,https://codelibrary.amlegal.com/codes/danvilleca/latest/overview,unknown,per_district_sections,unknown,unknown,granicus_family_clean,amlegal_or_ecode_403,needs_adapter,med,Granicus + CivicEngage site. Zoning American Legal; to_verify amlegal 403.
El Cerrito,city,Contra Costa,0621796,Planning Commission,CivicClerk,https://elcerritoca.portal.civicclerk.com/,js_shell,yes,Municode,https://library.municode.com/ca/el_cerrito,clean,per_district_sections,unknown,unknown,civicclerk_modern_api,municode_api,needs_adapter,high,Migrated to CivicClerk; legacy CivicPlus Archive Center for older. Zoning Municode Title 19.
Hercules,city,Contra Costa,0633308,Planning Commission,Granicus/Legistar,https://hercules.legistar.com/,clean,yes,CodePublishing,https://www.codepublishing.com/CA/Hercules/,clean,per_district_sections,unknown,unknown,granicus_family_clean,codepublishing_clean,clean,high,Legistar + Granicus video. Zoning CodePublishing Title 13.
Lafayette,city,Contra Costa,0639122,Planning Commission,Granicus/Legistar,https://lafayette.granicus.com/ViewPublisher.php?view_id=19,clean,yes,Municode,https://library.municode.com/ca/lafayette,clean,per_district_sections,unknown,unknown,granicus_family_clean,municode_api,clean,high,Granicus AgendaViewer + YouTube. Zoning Municode. to_verify audio-vs-written minutes for some meetings.
Martinez,city,Contra Costa,0646114,Planning Commission,Granicus/Legistar,https://martinez.granicus.com/ViewPublisher.php?view_id=2,clean,yes,Municode,https://library.municode.com/ca/martinez,clean,per_district_sections,unknown,unknown,granicus_family_clean,municode_api,clean,high,Granicus agendas/action minutes/video. Zoning Municode Title 22.
Moraga,town,Contra Costa,0649187,Planning Commission,CivicPlus,https://www.moraga.ca.us/AgendaCenter,clean,yes,Municode,https://library.municode.com/ca/moraga/codes/municipal_code?nodeId=MOCA_TIT8PLZO,clean,per_district_sections,unknown,unknown,civicplus_clean,municode_api,needs_adapter,med,CivicEngage AgendaCenter. to_verify CivicPlus Akamai. Zoning Municode Title 8. [Akamai sweep 2026-06-08: clean 200]
Oakley,city,Contra Costa,0653070,Planning Commission,CivicPlus,https://www.oakleyca.gov/agendacenter,clean,yes,CodePublishing,https://www.codepublishing.com/CA/Oakley/,clean,per_district_sections,unknown,unknown,civicplus_clean,codepublishing_clean,needs_adapter,med,CivicEngage AgendaCenter; PDFs via CivicClerk CDN. to_verify CivicClerk vs CivicPlus. Zoning CodePublishing Ch.9.1. [Akamai sweep 2026-06-08: clean 200]
Orinda,city,Contra Costa,0654232,Planning Commission,CivicPlus,https://www.cityoforinda.gov/AgendaCenter,clean,yes,Municode,https://library.municode.com/ca/orinda,clean,per_district_sections,unknown,unknown,civicplus_clean,municode_api,needs_adapter,med,CivicEngage AgendaCenter + DocumentCenter (PC archive 2010-present). to_verify Akamai. Zoning Municode Title 17. [Akamai sweep 2026-06-08: clean 200]
Pinole,city,Contra Costa,0657288,Planning Commission,CivicClerk,https://pinoleca.portal.civicclerk.com/,js_shell,yes,American Legal,https://codelibrary.amlegal.com/codes/pinole/latest/overview,unknown,consolidated_matrix,yes,unknown,civicclerk_modern_api,amlegal_or_ecode_403,needs_adapter,med,CivicClerk + Granicus video + WordPress. Zoning Title 17 amlegal; consolidated dev-standards matrix (Table 17.24.020-1). to_verify amlegal 403.
Pittsburg,city,Contra Costa,0657456,Planning Commission,Granicus/Legistar,https://pittsburg.granicus.com/ViewPublisher.php?view_id=2,clean,yes,CodePublishing,https://www.codepublishing.com/CA/Pittsburg/,clean,per_district_sections,unknown,unknown,granicus_family_clean,codepublishing_clean,clean,high,Granicus + city site. Zoning CodePublishing Title 18.
Pleasant Hill,city,Contra Costa,0657764,Planning Commission,CivicPlus,https://www.phillca.gov/277/Agendas,clean,yes,eCode360,https://ecode360.com/49383408,clean,per_district_sections,unknown,unknown,civicplus_clean,ecode360_clean,needs_adapter,med,CivicPlus Archive Center + Granicus older/video. Zoning eCode360 Title 18. to_verify Akamai. [Akamai sweep 2026-06-08: clean 200]
Richmond,city,Contra Costa,0660620,Planning Commission,Granicus/Legistar,https://richmond.granicus.com/ViewPublisher.php?view_id=3,clean,yes,Municode,https://library.municode.com/ca/richmond,clean,per_district_sections,unknown,no,granicus_family_clean,municode_api,clean,high,PILOT REVIEW resolved: PC minutes in BOTH Granicus (view_id=3) and CivicPlus Archive Center (AMID=78 minutes). Zoning Municode Art.XV. in_nzlud=no (pilot).
San Pablo,city,Contra Costa,0668294,Planning Commission,CivicPlus,https://www.sanpabloca.gov/1400/City-CouncilLSA-Planning-Comm-AgendasMin,clean,yes,CodePublishing,https://www.codepublishing.com/CA/SanPablo/,clean,per_district_sections,unknown,unknown,civicplus_clean,codepublishing_clean,needs_adapter,med,CivicPlus Archive bundles Council/LSA/PC; a sanpablo.legistar.com also exists. to_verify authoritative source. Zoning CodePublishing Title 17. [Akamai sweep 2026-06-08: clean 200]
San Ramon,city,Contra Costa,0668378,Planning Commission,Granicus/Legistar,https://sanramonca.iqm2.com/Citizens/Board/1015-Planning-Commission,clean,yes,EncodePlus,https://online.encodeplus.com/regs/sanramon-ca/,unknown,per_district_sections,unknown,unknown,granicus_family_clean,encodeplus,needs_adapter,med,Minutes on IQM2 (Granicus-owned). Zoning on EncodePlus (Title D); Municode mirror exists. to_verify authoritative zoning host.
Walnut Creek,city,Contra Costa,0683346,Planning Commission,Granicus/Legistar,https://walnutcreek.granicus.com/ViewPublisher.php?view_id=2,clean,yes,CodePublishing,https://www.codepublishing.com/CA/WalnutCreek/,clean,per_district_sections,unknown,unknown,granicus_family_clean,codepublishing_clean,clean,high,Granicus (PC view_id=12) + city site. Zoning CodePublishing Title 10. to_verify eCode360-vs-CodePublishing.
Contra Costa County,county,Contra Costa,06013,County Planning Commission,Granicus/Legistar,https://contra-costa.legistar.com/,clean,yes,Municode,https://library.municode.com/ca/contra_costa_county/codes/ordinance_code,clean,per_district_sections,unknown,unknown,granicus_family_clean,municode_api,clean,high,County PC on Legistar + Granicus (view_id=14) + CivicEngage mirror. Zoning Title 8 Municode.
