locality,fips_geoid,best_form,spatial_url,source_type,download_apparent,confidence,notes
Alameda,0600562,gis_layer,https://gis.data.ca.gov/datasets/Gov-OPR::california-statewide-zoning/about,regional,yes,med,Covered by CA Statewide Zoning (Gov-OPR) downloadable layer (shapefile/GeoJSON/REST). NATIVE city layer not separately checked. Vintage 2022-23.
Alameda County,06001,gis_layer,https://data.acgov.org/,county_gis,yes,high,"Native county open-data hub (data.acgov.org, GeoJSON/Zip) + 'Unincorporated Alameda County Interactive Zoning View' (viewer). County native zoning scoped to unincorporated; CA Statewide layer covers all 14 cities + county."
Albany,0600674,gis_layer,https://gis.data.ca.gov/datasets/Gov-OPR::california-statewide-zoning/about,regional,yes,med,Covered by CA Statewide Zoning; native portal not checked.
American Canyon,0601640,gis_layer,https://gis.napacounty.gov/arcgis/rest/services/hosted/American_Canyon_Zoning/FeatureServer/0,county_gis,yes,high,"Napa County GIS hosts dedicated American_Canyon_Zoning polygon layer (Query,Extract). Countywide hosted/Zoning carries only a placeholder city polygon."
Belmont,0605108,gis_layer,https://open-belmontca.opendata.arcgis.com/datasets/belmont-zoning,city_opendata,yes,high,Belmont Zoning feature layer on city ArcGIS Hub; backing service maps.belmont.gov/arcgis/rest/services/OpenData/OpenData/FeatureServer/10.
Belvedere,0605164,gis_layer,https://gis.marinpublic.com/arcgis/rest/services/MarinMap2/Open_Data_Download/MapServer/114,regional,yes,high,MarinMap consortium: Belvedere Zoning = layer 114 in countywide MarinMap2 Open_Data_Download MapServer; Marin ArcGIS Hub (gisopendata.marincounty.gov) offers Shapefile/GeoJSON/KML downloads.
Benicia,0605290,gis_layer,https://services2.arcgis.com/SCn6czzcqKAFwdGU/ArcGIS/rest/services/Benicia_Zoning/FeatureServer,regional,yes,high,Solano Regional GIS Consortium: dedicated Benicia zoning FeatureServer; regis.solanocounty.com also offers shapefile downloads.
Berkeley,0606000,gis_layer,https://city-of-berkeley.hub.arcgis.com/,city_arcgis,yes,high,Native: Berkeley Geospatial Hub (ArcGIS Hub) downloadable incl zoning + Socrata data.cityofberkeley.info. Also in CA Statewide Zoning.
Calistoga,0609892,gis_layer,https://gis.napacounty.gov/arcgis/rest/services/hosted/Calistoga_Land_Use_Zoning/FeatureServer/0,county_gis,yes,high,"Dedicated Calistoga_Land_Use_Zoning layer (Query,Extract). Also a 2015 PDF zoning map + county web viewer."
Campbell,0610345,gis_layer,https://gis.campbellca.gov/arcgis/rest/services/Planning/Zoning/MapServer,city_arcgis,yes,high,"Esri Planning/Zoning MapServer (REST), Districts+Overlays, 2024 districts; public GIS viewer + Maps Gallery."
Concord,0616000,gis_layer,http://concordgis.ci.concord.ca.us/public/rest/services/GIS_Planning/MapServer/4,city_arcgis,yes,high,City Concord REST Zoning feature layer (GIS_Planning/MapServer ID 4); query/export. Also GIS Maps Portal.
Contra Costa County,06013,gis_layer,https://gis.cccounty.us/Downloads/Planning/PLA_DCD_Zoning.zip,county_gis,yes,high,Direct downloadable zoning shapefile (updated 2025-11). COVERS UNINCORPORATED COUNTY ONLY (excludes incorporated cities). County hub + CCMAP viewer also exist.
Corte Madera,0616462,gis_layer,https://gis.marinpublic.com/arcgis/rest/services/MarinMap2/Open_Data_Download/MapServer/115,regional,yes,high,MarinMap: Corte Madera Zoning = layer 115; downloadable via Marin GIS Open Data hub.
Cupertino,0617610,gis_layer,https://gis-cupertino.opendata.arcgis.com/datasets/Cupertino::zoning,city_opendata,yes,high,Dedicated Zoning layer on Cupertino ArcGIS Hub (Shapefile/GeoJSON/CSV/KML + WFS).
Dixon,0619402,gis_layer,https://services2.arcgis.com/SCn6czzcqKAFwdGU/ArcGIS/rest/services/City_of_Dixon_Zoning/FeatureServer,regional,yes,high,Solano ReGIS: City_of_Dixon_Zoning FeatureServer; shapefile via regis.solanocounty.com/apps.
Dublin,0620018,gis_layer,https://gis.data.ca.gov/datasets/Gov-OPR::california-statewide-zoning/about,regional,yes,med,Covered by CA Statewide Zoning; native portal not checked.
