locality,fips_geoid,earliest_minutes_year,continuity,minutes_type_basis,confidence,method,flags
Antioch,0602252,unknown,unknown,unknown,low,PC committee CID not discoverable via static read (newer CivicEngage; committee list JS-rendered),civicengage_js_gated(CID_not_static)
Atherton,0603092,unknown,unknown,unknown,low,PC committee CID not discoverable via static read (newer CivicEngage; committee list JS-rendered),civicengage_js_gated(CID_not_static)
Campbell,0610345,2006,continuous,typed_minutes,high,AgendaCenter Search CID=6: minutes 2006-2016 continuous (2004=0),
Cotati,0616560,unknown,unknown,unknown,low,PC committee CID not discoverable via static read (newer CivicEngage; committee list JS-rendered),civicengage_js_gated(CID_not_static)
Half Moon Bay,0631708,unknown,unknown,unknown,low,PC committee CID not discoverable via static read (newer CivicEngage; committee list JS-rendered),civicengage_js_gated(CID_not_static)
Los Altos Hills,0643294,2022,unknown,typed_minutes,med,AgendaCenter static HTML: ViewFile/Minutes links 2022-2026 (archive <=2022 not resolvable; CID JS-gated),static_html_floor(deeper_may_exist)
Millbrae,0647486,unknown,unknown,unknown,low,CID=8 found but Search returned no minutes 2008-2016,civicengage_js_gated(CID_not_static)
Monte Sereno,0648956,unknown,unknown,unknown,low,PC committee CID not discoverable via static read (newer CivicEngage; committee list JS-rendered),civicengage_js_gated(CID_not_static)
Oakley,0653070,unknown,unknown,unknown,low,PC committee CID not discoverable via static read (newer CivicEngage; committee list JS-rendered),civicengage_js_gated(CID_not_static)
Pleasant Hill,0657764,unknown,unknown,unknown,low,PC committee CID not discoverable via static read (newer CivicEngage; committee list JS-rendered),civicengage_js_gated(CID_not_static)
San Anselmo,0664434,unknown,unknown,unknown,low,PC committee CID not discoverable via static read (newer CivicEngage; committee list JS-rendered),civicengage_js_gated(CID_not_static)
San Pablo,0668294,unknown,unknown,unknown,low,PC committee CID not discoverable via static read (newer CivicEngage; committee list JS-rendered),civicengage_js_gated(CID_not_static)
Windsor,0685922,unknown,unknown,unknown,low,PC committee CID not discoverable via static read (newer CivicEngage; committee list JS-rendered),civicengage_js_gated(CID_not_static)
Yountville,0686930,unknown,unknown,unknown,low,PC committee CID not discoverable via static read (newer CivicEngage; committee list JS-rendered),civicengage_js_gated(CID_not_static)
