locality,fips_geoid,he_adoption_date,hcd_certification_date,prohousing_date,status_sequence,exposure_window_inputs,source_url,confidence,flags
Alameda,0600562,2022-11-16,2022-12-20,designated,6S Adopted -> In (2022-12-20); HCD current-status SNAPSHOT (pre-cert review/decert history not in this dataset),ABAG 6th-cycle statutory deadline 2023-01-31; HE received 2022-11-16; HCD compliance finding 2022-12-20 (status=In); builder's-remedy exposure ~= deadline->finding = 0.0 months (alt. deadline->HE-received = 0.0 months if self-adoption convention used),"HCD HE Review & Compliance Report (data.ca.gov/dataset/housing-element-compliance-report); HCD Prohousing Designated Jurisdictions (hcd.ca.gov/.../prohousing/designated-jurisdictions, as of 2026-03-26)",high,prohousing_date_to_verify(HCD tracker XLS)
San Francisco,0667000,2023-01-31,2023-02-01,designated,6S Adopted -> In (2023-02-01); HCD current-status SNAPSHOT (pre-cert review/decert history not in this dataset),ABAG 6th-cycle statutory deadline 2023-01-31; HE received 2023-01-31; HCD compliance finding 2023-02-01 (status=In); builder's-remedy exposure ~= deadline->finding = 0.0 months (alt. deadline->HE-received = 0.0 months if self-adoption convention used),"HCD HE Review & Compliance Report (data.ca.gov/dataset/housing-element-compliance-report); HCD Prohousing Designated Jurisdictions (hcd.ca.gov/.../prohousing/designated-jurisdictions, as of 2026-03-26)",high,prohousing_date_to_verify(HCD tracker XLS)
San Leandro,0668084,2022-12-09,2023-02-02,designated,6S Adopted -> In (2023-02-02); HCD current-status SNAPSHOT (pre-cert review/decert history not in this dataset),ABAG 6th-cycle statutory deadline 2023-01-31; HE received 2022-12-09; HCD compliance finding 2023-02-02 (status=In); builder's-remedy exposure ~= deadline->finding = 0.0 months (alt. deadline->HE-received = 0.0 months if self-adoption convention used),"HCD HE Review & Compliance Report (data.ca.gov/dataset/housing-element-compliance-report); HCD Prohousing Designated Jurisdictions (hcd.ca.gov/.../prohousing/designated-jurisdictions, as of 2026-03-26)",high,prohousing_date_to_verify(HCD tracker XLS)
Emeryville,0622594,2023-01-20,2023-02-03,designated,6S Adopted -> In (2023-02-03); HCD current-status SNAPSHOT (pre-cert review/decert history not in this dataset),ABAG 6th-cycle statutory deadline 2023-01-31; HE received 2023-01-20; HCD compliance finding 2023-02-03 (status=In); builder's-remedy exposure ~= deadline->finding = 0.1 months (alt. deadline->HE-received = 0.0 months if self-adoption convention used),"HCD HE Review & Compliance Report (data.ca.gov/dataset/housing-element-compliance-report); HCD Prohousing Designated Jurisdictions (hcd.ca.gov/.../prohousing/designated-jurisdictions, as of 2026-03-26)",high,prohousing_date_to_verify(HCD tracker XLS)
Oakland,0653000,2023-02-13,2023-02-17,designated,6S Adopted -> In (2023-02-17); HCD current-status SNAPSHOT (pre-cert review/decert history not in this dataset),ABAG 6th-cycle statutory deadline 2023-01-31; HE received 2023-02-13; HCD compliance finding 2023-02-17 (status=In); builder's-remedy exposure ~= deadline->finding = 0.5 months (alt. deadline->HE-received = 0.4 months if self-adoption convention used),"HCD HE Review & Compliance Report (data.ca.gov/dataset/housing-element-compliance-report); HCD Prohousing Designated Jurisdictions (hcd.ca.gov/.../prohousing/designated-jurisdictions, as of 2026-03-26)",high,prohousing_date_to_verify(HCD tracker XLS)
San Ramon,0668378,2023-02-06,2023-02-27,not_designated,6S Adopted -> In (2023-02-27); HCD current-status SNAPSHOT (pre-cert review/decert history not in this dataset),ABAG 6th-cycle statutory deadline 2023-01-31; HE received 2023-02-06; HCD compliance finding 2023-02-27 (status=In); builder's-remedy exposure ~= deadline->finding = 0.9 months (alt. deadline->HE-received = 0.2 months if self-adoption convention used),HCD HE Review & Compliance Report (data.ca.gov/dataset/housing-element-compliance-report),high,
Milpitas,0647766,2023-05-16,2023-05-17,not_designated,6S Adopted -> In (2023-05-17); HCD current-status SNAPSHOT (pre-cert review/decert history not in this dataset),ABAG 6th-cycle statutory deadline 2023-01-31; HE received 2023-05-16; HCD compliance finding 2023-05-17 (status=In); builder's-remedy exposure ~= deadline->finding = 3.5 months (alt. deadline->HE-received = 3.5 months if self-adoption convention used),HCD HE Review & Compliance Report (data.ca.gov/dataset/housing-element-compliance-report),high,
Petaluma,0656784,2023-03-22,2023-05-18,2024-01,6S Adopted -> In (2023-05-18); HCD current-status SNAPSHOT (pre-cert review/decert history not in this dataset),ABAG 6th-cycle statutory deadline 2023-01-31; HE received 2023-03-22; HCD compliance finding 2023-05-18 (status=In); builder's-remedy exposure ~= deadline->finding = 3.6 months (alt. deadline->HE-received = 1.7 months if self-adoption convention used),"HCD HE Review & Compliance Report (data.ca.gov/dataset/housing-element-compliance-report); HCD Prohousing Designated Jurisdictions (hcd.ca.gov/.../prohousing/designated-jurisdictions, as of 2026-03-26)",high,
Mountain View,0649670,2023-04-26,2023-05-26,2024-01,6S Adopted -> In (2023-05-26); HCD current-status SNAPSHOT (pre-cert review/decert history not in this dataset),ABAG 6th-cycle statutory deadline 2023-01-31; HE received 2023-04-26; HCD compliance finding 2023-05-26 (status=In); builder's-remedy exposure ~= deadline->finding = 3.8 months (alt. deadline->HE-received = 2.8 months if self-adoption convention used),"HCD HE Review & Compliance Report (data.ca.gov/dataset/housing-element-compliance-report); HCD Prohousing Designated Jurisdictions (hcd.ca.gov/.../prohousing/designated-jurisdictions, as of 2026-03-26)",high,
Hayward,0633000,2023-06-07,2023-07-27,designated,6S Adopted -> In (2023-07-27); HCD current-status SNAPSHOT (pre-cert review/decert history not in this dataset),ABAG 6th-cycle statutory deadline 2023-01-31; HE received 2023-06-07; HCD compliance finding 2023-07-27 (status=In); builder's-remedy exposure ~= deadline->finding = 5.9 months (alt. deadline->HE-received = 4.2 months if self-adoption convention used),"HCD HE Review & Compliance Report (data.ca.gov/dataset/housing-element-compliance-report); HCD Prohousing Designated Jurisdictions (hcd.ca.gov/.../prohousing/designated-jurisdictions, as of 2026-03-26)",high,prohousing_date_to_verify(HCD tracker XLS)
