item_id,case_number,year,extracted_block,extracted_lots,minutes_blocks,minutes_lots,classification,block_text
141,97.526E,1998,3935,25,3935,25,lot absent from the parcel layer; extraction matches the minutes,"10. 97.526E (NAVARRETE)    2068 THIRD STREET , Appeal of Preliminary Negative Declaration: On lot 25 in Assessor's Block 3935, the proposed project would construct a new four story, 50 foot tall building containing 16 live/work units at 2068 Third Street (west side of Third Street, between 18th and Mariposa Streets). The project would provide off-street parking for 16 vehicles in a ground floor parking garage with access from Third Street. The project site is vacant and approximately 6, 625 square feet in lot area. The proposed building would include 28,146 gross square feet of floor area and "
348,98.208D,1998,3729,67,3729,67,lot absent from the parcel layer; extraction matches the minutes,"11.	98.208D	(BAÑALES)    723 TEHAMA STREET , south side between 8th and 9th Streets, Lot 067 in Assessor's Block 3729 - Request for Discretionary Review of Building Permit No. 9801230, proposing to convert a legally commercial building into four live/work units.  The project proposes a single-story vertical addition in a SLR (Service/Light Industrial/Residential Mixed Use) District.  DISCRETIONARY REVIEW WITHDRAWN"
1541,98.945D,1999,5414,24;25,5414,24;25,lot absent from the parcel layer; extraction matches the minutes,"14. 98.945D (ALVIN)  5330 THIRD STREET, 15-35 WILLIAMS AVENUE, AND 1732 WALLACE AVENUE , Lots 024 and 025 in Assessor's Block 5414 -- Request for Discretionary Review of Building Permit Application No. 9908388, proposing to demolish three industrial structures in a M-1 (Light Industrial) District.     SPEAKER(S):  Luis Belmonte, Derek Smith, Melvin Washington, Al Norman   ACTION:  No DR   AYES:  Theoharis, Mills, Antenore, Chinchilla, Joe, Richardson   NAYES:  None   ABSENT:  Martin"
143,97.749C,1998,5501,32A;33;53;54,5501,32A;33;53;54,lot absent from the parcel layer; extraction matches the minutes,"12. 97.749C (BA?ALES)    3101 MISSION STREET , southeast corner of Cesar Chavez Street, with frontage on Precita Avenue; Lots 32A, 33, 53 and 54 in Assessor's Block 5501 -- Request for Conditional Use authorization of a Planned Unit Development (PUD) to construct a housing complex containing 55 affordable dwelling units, a community resource center and child care facility and a total of 44 parking spaces, with exceptions to Planning Code requirements for rear yard depth and parking, in an NC-3 (Neighborhood Commercial, Moderate Scale), 50-X Height and Bulk District and RH-2 (Residential-House,"
18048,2015-015010OFA,2018,3800,303;304,3800,303;304,lot absent from the parcel layer; extraction matches the minutes,"4a. 2015-015010OFA (D. VU: (415) 575-9120) 1 DE HARO STREET – between King and Berry Streets – Lots 303 & 304 in Assessor’s Block 3800 (District 10) – Request for an Office Development Authorization under Planning Code Sections 320, 321 and 322 to authorize up to 86,301 sq. ft. from the Office Development Annual Limit. The Project would construct a new four-story, 58-ft. tall mixed-use building containing 869,301 sq. ft. of office use and 43,318 sq. ft. of PDR uses. The Project site is located within the PDR-1-G (Production, Distribution and Repair - General) Zoning District and 58-X Height an"
16422,2014.0678C,2015,2484A,8,2484A,8,lot absent from the parcel layer; extraction matches the minutes,"6.2014.0678C(O. MASRY: (415) 575-9116) 470 WEST PORTAL AVENUE-along West Portal Avenue, north of Sloat Boulevard; Lot 008 in Assessor’s Block 2484A -Request forConditional Use Authorization, pursuant to Planning Code Sections 209.1 and 303 to modify an existing Sprint macro Wireless Telecommunications Services (WTS) Facility, and add three (3) screened panel antennas. The property is within a RH-1(D) (Residential-House, One-Family Detached) Zoning District, and 40-X Height and Bulk District. This action constitutes the Approval Action for the project for the purposes of CEQA, pursuant to Secti"
2853,2000.1265D,2001,2629,2I,2629,2I,lot absent from the parcel layer; extraction matches the minutes,"2000.1265D   (SMITH:   558-6322)     282 UPPER TERRACE  -  Request for          Discretionary Review of Building Permit Application No. 2000/09/20/1100,          Case No. 2000.1265D, for the property located at 282 Upper Terrace, Lot          No. 002I in Assessor's Block 2629.   Discretionary          Review is requested of Building Permit proposing to construct a two‑story          rear addition with a second-floor roof deck and stairs on a dwelling in          a RH‑2 (House, Two‑Family) District and a 40‑X Height          and Bulk District.   Preliminary Recommendation:   T ake discretionary"
352,98.127C,1998,1742,35;44,1742,35;44,lot absent from the parcel layer; extraction matches the minutes,"98.127C	(IONIN)	    1200 - 9TH  AVENUE   STREET , southeast corner at Lincoln Way; Lots 35 & 44 in Assessor's Block 1742 - Request for modification of a previously approved Conditional Use Authorization, under Sections 711.11 and 711.21 of the Planning Code for the development of a lot exceeding 10,000 square feet in area and establishment of a retail pet store exceeding 4,000 square feet in size in a NC-2 (Small-Scale Neighborhood Commercial) District and a 40-X Height and Bulk District, to allow a general convenience retail/pharmacy use rather than the previously approved retail pet store.  "
862,98.504CV,1998,1023,31,1023,31,lot absent from the parcel layer; extraction matches the minutes,"10b.	98.504C V 	(PEPPER)     	3151 SACRAMENTO STREET , south side between Baker and Lyon Streets, Lot 31 in Assessor's Block 1023 in an RH-2 (House, Two-Family) District and a 40-X Height and Bulk District. Public hearing by the Zoning Administrator on a request for zoning variance from the rear yard requirement of the Planning Code in conjunction with the conversion of a noncomplying building to residential use in the required rear yard.       	SPEAKER(S):	 Lloyd Schleigel, Paula Tagert   	ACTION:	 Approved  The Zoning Administrator closed public hearing     AYES:	 Chinchilla, Theoharis, Ante"
1222,98.520D,1999,2618,20,2618,20,lot absent from the parcel layer; extraction matches the minutes,"13. 98.520D (WANG)  150 LOWER TERRACE , north side between Roosevelt Way and Levant Street, Lot 020 in Assessor's Block 2618 -- Request for Discretionary Review of Building Permit Application Nos. 9812438, 9812439 and 9812440, proposing to demolish the existing single-family structure, subdivide the subject lot into two separate lots and construct a three-story-over-garage, two-family dwelling on each of the two newly created lots in a RH-2 (House, Two-Family) District.     SPEAKER(S):  John Sanger, Tom Bonomi, Jason Shulman, Lucia Bogatay, Fred Ross, Glen Hildebrand, Gerry McBride, Peter Brod"
2134,2000.316X,2000,3708,15;17;18,3708,15;17;18,lot absent from the parcel layer; extraction matches the minutes,"5. 2000.316X (BEATTY: 558-6163)   554 MISSION STREET ,  north side of Mission Street between 1st and 2nd Streets, Lots 15, 17 and 18 of Assessor?s Block 3708   -- Request for two exceptions under Planning Code Section 309: (1) separation of towers requirements as permitted in Planning Code Section 132.1(c)(1); and (2) on-site freight-loading service driveway requirements as permitted in Section 155(d). The project site is within the C-3-0 (Downtown, Office) District and 500-S (Lot 18) and 550-S (Lots 15 and 17) Height and Bulk Districts.   Preliminary Recommendation: Approval   (Proposed for C"
