case_number,motion_number,hearing_date,request_type,project_address,block,lot
1997.482C,14524,1998-01-08,conditional_use,2743-2761 Geary Boulevard,1092,27;28;29;30
1997.636C,14525,1998-01-08,conditional_use,2121 & 2145 19th Avenue,2198,33;34
1997.787B,14520,1998-01-08,office_allocation,650 Townsend Street,3783,9
1997.882R,14521,1998-01-08,other,2290-2295 Geary Boulevard,,
1996.340C,14530,1998-01-15,conditional_use,1660 McAllister Street,1156,13
1997.656C,14529,1998-01-15,conditional_use,1712 Taraval Street,2356,9
1997.658C,14531,1998-01-15,conditional_use,1050 Kirkham Street,1839,7
1997.718C,14532,1998-01-15,conditional_use,3150 22nd Street,3615,15
1997.669C,14535,1998-01-22,conditional_use,1209 Vicente Street,2473,48
1997.783C,14538,1998-01-22,conditional_use,1129 Leavenworth Street,248,5
1997.215X,14541,1998-02-12,downtown_project,39-67 Second Street,3708,19A;33;34
1997.532C,14548,1998-02-12,conditional_use,54 Harriet Street,3731,103
1997.749C,14546,1998-02-19,conditional_use,3101 Mission Street,5501,32A;33;53;54
1997.869CV,14547,1998-02-19,conditional_use,302 Valley Street,6613,8
,14555,1998-03-05,,,,
1997.870CV,14556,1998-03-05,conditional_use,290-296 Valencia Street,3533,10
1997.568C,14602,1998-03-12,conditional_use,98 Ocean Avenue,3207,26
1997.675ECSRZ,14607,1998-03-26,conditional_use,500 Raymond Avenue,6221,2
1997.675ECSRZ,14607,1998-03-26,conditional_use,500 Raymond Avenue,6221,2
1998.005C,14610,1998-04-02,conditional_use,110 Brussels Street,5927,1
1998.066C,14609,1998-04-02,conditional_use,9 Crystal Street,7155,4
1998.034C,14612,1998-04-09,conditional_use_modification,4109-4111 18th Street,2695,1
1998.037C,14614,1998-04-09,conditional_use,1990 Ocean Avenue,3280,18
1998.100C,14613,1998-04-09,conditional_use,704 Kearny Street,208,11
1998.025X,14615,1998-04-16,downtown_project,70-82 Natoma Street,3721,45A;46;53;54
1997.689XCE,14616,1998-04-23,downtown_project,299 Second Street,3736,27;29;35
1998.156C,14618,1998-04-23,conditional_use_modification,790 Lombard Street,65,15A
1998.152C,14621,1998-05-07,conditional_use,366 Columbus Avenue,146,1
1998.103C,14628,1998-05-21,conditional_use,2555 Seventeenth Avenue,2418,4;4A;4B;4C;4D
1998.195C,14630,1998-05-21,conditional_use,2298 Union Street,534,21
1998.127C,14638,1998-06-04,conditional_use_modification,1200 9th Avenue,1742,35;44
1998.136C,14635,1998-06-04,conditional_use,1081 Pine Street,275,7C
1998.186C,14637,1998-06-04,conditional_use,4207 Judah Street,1806,37
1998.197C,14636,1998-06-04,conditional_use,540 and 590 Van Ness Avenue,766,13
1998.285C,14639,1998-06-04,conditional_use,1640 Stockton Street,103,15
1998.251C,14642,1998-06-11,conditional_use,154 Coleridge Street,5642,22
1997.629C,14645,1998-06-18,conditional_use,300 Gough Street,816,8
1998.105C,14646,1998-06-18,conditional_use,300 Gaven Street,5846;5847,1;32
1998.080C,14650,1998-06-25,conditional_use,4314 California Street,1365,14
1998.237C,14649,1998-06-25,conditional_use,2970 25th Avenue,7208,8B
1998.296C,14651,1998-06-25,conditional_use,3600-16th Street,3561,15
1998.317C,14648,1998-06-25,conditional_use,4516-4518 Mission Street,3147,2
1998.335C,14647,1998-06-25,conditional_use,1875 Alemany Blvd,6956,23
1998.287C,14655,1998-07-09,conditional_use,492 Broadway,144,16;17;18
1998.321C,14657,1998-07-09,conditional_use,3178 16th Street,3555,23
1998.391C,14656,1998-07-09,conditional_use,1233 Vicente Street,2473,44
1998.333C,14660,1998-07-16,conditional_use,668 Vermont Street,4028,1E
1998.437C,14662,1998-07-16,conditional_use,1545-1561 Polk Street,643,1
1998.303RCV,14665,1998-07-23,conditional_use,345 Randolph Street,7118,44
1998.354C,14667,1998-07-23,conditional_use,2750 Rivera Street,2094,6
1998.409C,14666,1998-07-23,conditional_use,408-414 Columbus Avenue,131,15
1998.039C,14671,1998-08-06,conditional_use,3338-3388 17th Street,3569,83
1998.460Q,14668,1998-08-06,,3824 Scott Street,417B,15
1997.674B,14672,1998-08-13,other,945 Battery Street,135,1
1998.416C,14673,1998-08-13,conditional_use,450 459 Vienna Street,6076,29
1997.358CV,14681,1998-08-20,conditional_use,105 Miles Street,243,54
1998.256C,14680,1998-08-20,conditional_use,166 Sanchez Street,3541,9
1998.365CV,14679,1998-08-20,conditional_use,2211 Mission Street,3590,34
1998.388C,14676,1998-08-20,conditional_use,665 Third Street,3788,41
1998.509C,14675,1998-08-20,conditional_use,827 Guerrero Street,3608,76
1997.309XCV,14687,1998-08-27,conditional_use,147-151 Minna Street,3722,79
1997.470B,14685,1998-08-27,office_allocation,475 Brannan Street,3787,31
1997.470M,14683,1998-08-27,general_plan_amendment,475 Brannan Street,3787,31
1997.470Z,14684,1998-08-27,rezoning_map_amendment,475 Brannan Street,3787,
1998.310CV,14692,1998-09-03,conditional_use,2360 3rd Street,4108,3R
1998.592C,14690,1998-09-03,conditional_use,1401 California Street,250,1
1998.428C,14695,1998-09-10,conditional_use,1970 McAllister Street,1159,14
1998.288CZ,14704,1998-09-17,conditional_use,945 Vermont Street / 946 Kansas Street,4093,24;25;66;67;92;94
1998.288CZ,14705,1998-09-17,rezoning_map_amendment,949 Vermont Street,4093,92
1998.526C,14714,1998-10-15,conditional_use,1901 Union Street,542,1
1998.283C,14731,1998-11-19,conditional_use,500 Divisadero Street,1203,17A
1998.387C,14770,1999-01-14,conditional_use,425 Folsom Street,3748,29
1996.671CV,14772,1999-01-21,conditional_use,855 Folsom Street,3752,72;89;90
1998.901C,14773,1999-01-21,conditional_use,3100 Webster Street,508,12
1998.364C,14778,1999-02-04,conditional_use,634-636 Clay Street,208,8
1998.968C,14779,1999-02-04,conditional_use,1484 Church Street,6579,7A
1998.243C,14785,1999-02-18,conditional_use,1351 Grant Avenue,131,2
1998.362B,14784,1999-02-18,other,1301 Sansome Street,85,5
1998.757CV,14791,1999-02-25,conditional_use,2107 Van Ness Avenue,575,3
1998.985CV,14790,1999-02-25,conditional_use,451 Eucalyptus Drive,7295,11;17;18
1997.699CA,14795,1999-03-04,conditional_use,926 Grove Street,85,9
1998.544C,14796,1999-03-04,conditional_use,3250 19th Avenue,7231,3
1998.944C,14793,1999-03-04,conditional_use,3219 17th Street,3575,68
1998.329C,14799,1999-03-11,conditional_use,466 Bush Street,270,42
1998.329X,14798,1999-03-11,downtown_project,466 Bush Street,270,42
1998.983C,14802,1999-03-11,conditional_use,1443 7th Avenue,1846,10
1998.870C,14804,1999-03-18,conditional_use,4025 18th Street,3583,84
1998.286C,14809,1999-04-01,conditional_use,33 Powell Street,330,4
1998.967C,14810,1999-04-15,conditional_use,3132 23rd Street,3638,20
1999.056C,14811,1999-04-22,conditional_use,2260-2262 Market Street,3560,10
1999.093C,14812,1999-04-22,conditional_use,5635 Mission Street,6470,1D
1999.099C,14813,1999-04-22,conditional_use,200 Paul Avenue,5431A,1F;1G
1997.823C,14818,1999-05-06,conditional_use_modification,299 Dolores Street,3556,25
1998.738EC,14821,1999-05-06,conditional_use,4279-4285 Mission Street,5893,20;21;22;23;24
1998.909C,14819,1999-05-06,conditional_use,480-498 Castro Street,2647,33
1999.050CV,14814,1999-05-06,conditional_use,577-579 Geary Street,317,17
1998.523CV,14824,1999-05-13,conditional_use,1880 Lombard Street,494,12
1999.140C,14828,1999-05-13,conditional_use_modification,1652 Stockton Street,103,17
1999.171C,14831,1999-05-27,conditional_use,260 Sagamore Street,7137,69
1999.238C,14830,1999-05-27,conditional_use,399 Grove Street,809,14
1999.054CKV,14836,1999-06-03,conditional_use,165 8th Street,3727,61;62;67
1998.804C,14840,1999-06-10,conditional_use,545 Leavenworth Street,319,2
1999.262C,14841,1999-06-10,conditional_use,1626-1630 Powell Street,117,15
1998.539C,14850,1999-06-24,conditional_use,3132 Clement Street,1401,2
1999.170CV,14851,1999-07-08,conditional_use,2500 Market Street,2648,1
1999.342C,14853,1999-07-15,conditional_use,3555 Cesar Chavez Street,6575,1
1998.813XK,14857,1999-07-22,downtown_project,199 Geary Street,,
1998.965C,14859,1999-07-22,conditional_use,467 Potrero Avenue,3974,18
1999.355C,14858,1999-07-22,conditional_use,2775 Van Ness Avenue,503,30
1999.197C,14872,1999-08-26,conditional_use_modification,314 Columbus Avenue,145,13
1999.306C,14873,1999-08-26,conditional_use,2159 and 2169 Chestnut Street,490,16;19
1999.406C,14875,1999-09-02,conditional_use,2801 26th Street,4334,1
1999.416CV,14876,1999-09-02,conditional_use,2516-2524 Mission Street,3616,61
1998.366C,14881,1999-09-09,conditional_use,1111-1175 California Street,253,20
1999.236C,14882,1999-09-09,conditional_use,1750-1758 Polk Street,620,20
1999.360C,14883,1999-09-09,conditional_use,1001 South Van Ness Avenue,3614,62
1999.470C,14896,1999-10-07,conditional_use_modification,1201-1299 Ocean Avenue,6943,49;54
1998.244C,14898,1999-10-14,conditional_use,2901 california street,1029,1;2;33
1998.547C,14905,1999-10-21,conditional_use,455-457 Arkansas Street,4068,21
1998.497X,14924,1999-11-04,downtown_project,215 Fremont Street,3738,12
1999.585ET,14919,1999-11-04,planning_code_amendment,,,
1999.489C,14936,1999-11-18,conditional_use,201 9th Street,3729,82
1999.512T,14929,1999-11-18,planning_code_amendment,,,
1999.575TT,14937,1999-12-09,planning_code_amendment,,,
1998.496C,14948,2000-01-06,conditional_use,333 Dolores Street,3567,57
1999.785D,14951,2000-01-06,discretionary_review,350 Divisadero Street,1217,27
1999.489C,14955,2000-01-13,conditional_use,201 9th Street,3729,82
1999.516C,14969,2000-01-20,conditional_use,262-268 Chestnut Street,55,5
1998.863C,14976,2000-01-27,conditional_use,6900 Geary Boulevard,1465,7
