case_number,hearing_date,request_type,project_address,block,lot
1997.488D,1998-01-08,discretionary_review,168 Rae Avenue,,
1997.504D,1998-01-08,discretionary_review,1304 Montgomery Street,106,17
1997.736D,1998-01-08,discretionary_review,1769 Noe Street,,
1997.778D,1998-01-08,discretionary_review,859 Elizabeth Street,2829,23
1997.496D,1998-01-22,discretionary_review,1025 17th Street,3987,14
1997.733D,1998-01-22,discretionary_review,727-729 Moraga Street,2036A,6
1997.838D,1998-02-19,discretionary_review,185 Ripley Street,5542,31
1997.839D,1998-02-19,discretionary_review,187 Ripley Street,5542,30
1997.526D,1998-03-19,discretionary_review,2068 3rd Street,3995,25
1997.526D,1998-03-19,discretionary_review,2068 3rd Street,3995,25
1998.025C,1998-04-16,conditional_use_modification,70-82 Natoma Street,3721,45A;46;53;54
1998.184D,1998-04-16,discretionary_review,4444 24th Street,2828,12
1997.859D,1998-05-07,discretionary_review,641-643 Connecticut,4100,52
1998.025C,1998-05-07,conditional_use_modification,70 82 Natoma Street,3721,45A;46;53;54
1998.232D,1998-05-14,discretionary_review,3507 Jennings Street,5015,19
1998.311D,1998-06-11,discretionary_review,1738 44th Avenue,2006,22
1998.222D,1998-06-25,discretionary_review,135 Miguel Street,6683,10
1998.463D/DDD,1998-07-09,discretionary_review,2067-69 Green Street,556,23
1997.528D,1998-07-23,discretionary_review,1001-23rd Street,4228,2
1998.225D,1998-08-06,discretionary_review,738 Capitol Avenue,7056,47
1998.487D,1998-08-27,discretionary_review,59 Scott Street,1260,6
1998.447D,1998-09-03,discretionary_review,236 Clara Street,3753,64
1998.124D,1998-09-10,discretionary_review,60 Rausch Street/73 Sumner Street,,
1997.258CC,1999-02-04,conditional_use_modification,939 Clement Street,1442,44;45
1998.967C,1999-03-18,conditional_use,3132 23rd Street,3638,20
1998.153D,1999-04-15,discretionary_review,1025 Minna Street,3511,70;71
1998.523CV,1999-04-15,conditional_use,1880 Lombard Street,494,12
1999.050CV,1999-04-15,conditional_use,577-579 geary street,317,17
1998.076D,1999-06-17,discretionary_review,1000 Pennsylvania Avenue,4224,42
1999.248D,1999-06-17,discretionary_review,123 Molimo Drive,3001B,16
1999.073D,1999-11-04,discretionary_review,1032 Broadway Street,150,45
1999.073DD,1999-11-04,discretionary_review,1032 Broadway,150,45
1999.650D,1999-11-18,discretionary_review,3630 Jackson Street,969,5
1999.270DD,1999-12-09,discretionary_review,2836-38 Washington Street,979,13
1998.891D,2000-01-06,discretionary_review,2002 Third Street & 595 Mariposa Street,3995,23;22
1999.418D,2000-01-06,discretionary_review,45 Juniper Street,3520,38
1999.436D,2000-01-20,discretionary_review,618 16th Avenue,1629,36
1999.753D,2000-01-20,discretionary_review,1051 Geneva Avenue,6407,15
1999.321D,2000-01-27,discretionary_review,699 Pennsylvania Avenue,4014,2
1999.416C,2000-01-27,conditional_use,2516-24 Mission Street,3616,61
1999.374D,2000-03-02,discretionary_review,993 Tennessee Street,4108,19
1998.703C,2000-03-09,conditional_use,399 Webster Street,842,1
1999.207C,2000-03-09,conditional_use,316-318 leland street,6245,52
2000.206D,2000-04-06,discretionary_review,39 ellert street,5677,7
1999.558C,2000-04-27,conditional_use,601 valencia street,3576,79;81
1999.624C,2000-04-27,conditional_use_modification,123-127 collingwood street,2695,30
1999.829C,2000-04-27,conditional_use,7355 Geary Boulevard,1507,34
1999.832C,2000-04-27,conditional_use,260 Sagamore Street,7137,69
2000.144C,2000-04-27,conditional_use,1000 Van Ness Avenue,715,14;15;16
2000.252C,2000-04-27,conditional_use,800 Velasco Street,6321,1
1999.578C,2000-05-04,conditional_use,615 Hyde Street,302,8
2000.113D,2000-05-04,discretionary_review,1552 polk street,644,1
2000.199D,2000-05-11,discretionary_review,420 collingwood street,279,4
2000.204DD,2000-05-11,discretionary_review,2690 broadway,960,2B
1998.864D,2000-06-08,discretionary_review,690 4th Street,3786,8;9
2000.147C,2000-06-08,conditional_use,400 McAllister Street,766,2
2000.345D,2000-06-08,discretionary_review,2823-2825 golden gate avenue,1167,44
2000.216C,2000-06-15,conditional_use,510 - 520 Frederick Street,1263,6
2000.473D,2000-06-15,discretionary_review,82-86 garden street,1079,13
2000.323C,2000-06-22,conditional_use,545 Powell Street,284,1
2000.427C,2000-06-22,conditional_use,2201 Van Ness Avenue,570,7
1999.790C,2000-07-06,conditional_use,1628 Balboa Street,1560,23
1999.817C,2000-07-06,conditional_use,990 Columbus Avenue,65,48
2000.078G,2000-07-06,historic,580 Howard Street,3721,91
2000.353DD,2000-07-06,discretionary_review,541 & 547 29th Street,6630,38;37
1999.040CV,2000-07-13,conditional_use,1738 9th avenue,2041,31;32
2000.238DDD,2000-07-27,discretionary_review,117 parker avenue,1064,3
2000.637D,2000-07-27,discretionary_review,350 Collingwood Street,2751,6B
1999.833D,2000-08-03,discretionary_review,1 la avanzada street,2724,3
2000.603D,2000-08-03,discretionary_review,1 La Avanzada Street,2724,3
2000.605D,2000-08-03,discretionary_review,1 La Avanzada Street,2724,3
2000.606D,2000-08-03,discretionary_review,1 La Avanzada Street,2724,3
2000.732D,2000-08-10,discretionary_review,3445 geary boulevard,1085,41
1998.953D,2000-08-24,discretionary_review,557-4th Street,3776,119
1999.584D,2000-08-24,discretionary_review,188 King Street,3794,4A
2000.793D,2000-09-07,discretionary_review,4832 17th street,1287,11
2000.427C,2000-09-14,conditional_use,2201 Van Ness Avenue,570,7
2000.200D,2000-09-21,discretionary_review,2412 harrison street,,
2000.959D,2000-10-19,discretionary_review,1420 DeHaro Street,4282A,34;35
1999.684D,2000-10-26,discretionary_review,129 Randall Street,6663,38
2000.573D,2000-10-26,discretionary_review,141 juanita way,2958,28
2000.578D,2000-10-26,discretionary_review,1401 douglass street,6605,20
1998.885D,2000-11-02,discretionary_review,128 King Street,3794,23
2000.786D,2000-11-02,discretionary_review,2844 greenwich street,940,33
2000.578D,2000-11-09,discretionary_review,1401 douglass street,6605,20
2000.1029D,2000-11-16,discretionary_review,481 Arkansas Street,4068,12A
2000.1135D,2000-11-16,discretionary_review,1 La Avanzada Street,2724,3
2000.877D,2000-12-07,discretionary_review,240 16th Avenue,1418,37
1997.379D,2000-12-14,discretionary_review,386 alabama/2625 16th street,3967,1
2000.677C,2001-01-18,conditional_use,373 Broadway Street,164,18
2000.1242D,2001-01-25,discretionary_review,2101 scott street,1003,56
2000.1200D,2001-02-01,discretionary_review,4515 20th street,2749,49
2000.428D,2001-02-01,discretionary_review,1615 Broderick Street,1053,2
2001.0036D,2001-02-01,discretionary_review,1955 palou avenue,5330,37
2000.654D,2001-02-08,discretionary_review,412 lombard street,62,10
2000.877D,2001-02-08,discretionary_review,240 16th avenue,1418,37
2000.1265D,2001-02-15,discretionary_review,282 upper terrace,2629,2I
2000.964DDDD,2001-02-15,discretionary_review,250 sea cliff avenue,1307,1M
1999.770DDDDD,2001-02-22,discretionary_review,567-569 sanchez street,3585,32
2000.097DD,2001-02-22,discretionary_review,2210 43rd avenue,2307,41
2000.1009D,2001-02-22,discretionary_review,2634 25th avenue,2472,44
1999.770DDDDD,2001-03-01,discretionary_review,567-569 sanchez street,3585,32
2000.1251C,2001-04-12,conditional_use,2990 24th Street,4206,40
2000.1274DD,2001-04-19,discretionary_review,1851-31st avenue,2068,11
2001.0220D,2001-04-19,discretionary_review,2625 23rd avenue,2473,3
2000.046D,2001-04-26,discretionary_review,2147 29th avenue,2188,12
2000.264CD,2001-04-26,discretionary_review,1087 mississippi street,4224,49
2001.0192DD,2001-05-10,discretionary_review,240 san fernando way,3251,4A
2001.0141D,2001-05-17,discretionary_review,1041 lake street,1371,43
2000.360D,2001-05-24,discretionary_review,2311 19th Street,4076,18
2001.0233D,2001-06-07,discretionary_review,2349 Franklin Street,569,2
2000.138DV,2001-06-14,discretionary_review,4038 17th street,2623,11
2000.863CV,2001-06-14,variance,2712 mission street,3643,3
2001.0198D,2001-06-14,discretionary_review,25 Rico Way,52,439A
2001.0498D,2001-06-14,discretionary_review,2339 green street,559,41
2001.0042D,2001-06-21,discretionary_review,176 clipper street,,
2001.0385DD,2001-06-21,discretionary_review,283 chenery street,,
2001.0542D,2001-06-21,discretionary_review,290 union street,106,15
2000.1267D,2001-06-28,discretionary_review,215 roosevelt way,2614,60
2001.0261DDD,2001-07-12,discretionary_review,322 28th avenue and 326 28th avenue,1406,37;38
2001.547D,2001-07-12,discretionary_review,655 32nd Avenue,1575,7A
2001.0562D,2001-07-19,discretionary_review,1519-37th avenue,1883,5
2001.0666D,2001-07-19,discretionary_review,2836-2838 washington street,979,13
2001.0612D,2001-07-26,discretionary_review,124-126 7th avenue,1366,39
2001.0200DDDDD,2001-08-02,discretionary_review,738 Duncan Street,6588,6A
2000.0933D,2001-08-09,discretionary_review,517 hickory street,829,13A
2001.0202CV,2001-08-09,variance,136-142 Taylor Street,340,14
2001.0254D,2001-08-16,discretionary_review,3040 Steiner Street,534,50
2001.0525DDD,2001-08-16,discretionary_review,1489-5th Avenue,1848,22
2000.1279C,2001-08-23,conditional_use,522-524 clipper street,6545,9
2001.0610D,2001-08-23,discretionary_review,1117 Judah Street,1837,48
2000.272CX,2001-09-06,conditional_use,185 post street,310,18
2001.0702D,2001-09-06,discretionary_review,2590 pine street,656,17
2001.0123DD,2001-09-13,discretionary_review,2252 beach street,915,9C
2001.0594DD,2001-09-13,discretionary_review,1009 guerrero street,3633,19
2001.0596DDDDD,2001-10-11,discretionary_review,760 el camino del mar,1307,2C
2001.0703D,2001-10-11,discretionary_review,1151 church street,3650,29
2000.692CVD,2001-10-18,discretionary_review,2200 mission street,3589,1
2001.0716D,2001-10-18,discretionary_review,1199 south van ness avenue,3638,25
2001.0895D,2001-10-18,discretionary_review,3248 22nd Street,3616,9
2001.0910D,2001-10-18,discretionary_review,1 palo alto drive,2724,3
2001.0146V,2001-10-25,variance,626-29th Street,7536,9
2001.0663D,2001-10-25,discretionary_review,761 3rd street,3794,5
2001.0897D,2001-10-25,discretionary_review,747 3rd street,3794,5
2000.0023D,2001-11-08,discretionary_review,1187 noe street,6537,28
2001.0845D,2001-11-08,discretionary_review,2551-2557 mission street,3615,23
2001.0761D,2001-11-15,discretionary_review,60 Agua Way,2959,20
2001.0848DDDD,2001-11-15,discretionary_review,2115 broadway,580,18
2001.0137CV,2001-12-06,variance,3294 mission street,6596,12
2000.074EKXC,2001-12-13,downtown_project,77 van ness avenue,834,22
2000.074EKXC,2001-12-13,conditional_use,77 van ness avenue,834,22
2001.0483D,2001-12-13,discretionary_review,1863 newcomb avenue,5311,25
2001.0957D,2001-12-20,discretionary_review,"14, 20, 26, 32, 38, 46, 50 & 62 arco way",3154,32;39;38;37;28;27;26;24
2001.0925D,2002-01-10,discretionary_review,45 Gladys Street,5710,19
2001.1026C,2002-01-24,conditional_use,1239 9th Avenue,1714,6
2001.0695D,2002-02-07,discretionary_review,4706 25th street,6501,16
2001.0765D,2002-02-07,discretionary_review,377 & 381 Liberty Street,3605,28;85
2001.1053D,2002-02-07,discretionary_review,780-27th street,6583,14A
2001.1102D,2002-02-21,discretionary_review,1323-41st avenue,1796,3
2001.0921D,2002-02-28,discretionary_review,1358 47th avenue,1801,30
2001.0973DDDDDD,2002-03-14,discretionary_review,2518 union street,945,8
2001.1027CR,2002-04-04,conditional_use,3224-3252 Pierce Street,490,9;10;11;12;13
2001.527D,2002-04-04,discretionary_review,155 ellington avenue,7043,3F
2001.0114DD,2002-04-11,discretionary_review,293 downey street,1269,46
2001.0982D,2002-04-11,discretionary_review,2887 washington street,1002,27
2001.1088CD,2002-04-11,discretionary_review,1087 mississippi street,4224,49
2001.1167D,2002-04-18,discretionary_review,919 elizabeth street,2828,38
2001.0645D,2002-05-02,discretionary_review,839 dolores street,3618,76
2001.0879D,2002-05-02,discretionary_review,425 collingwood street,2770,23
2001.0894DD,2002-05-09,discretionary_review,22-24 annapolis terrace,1163,15
2002.0189CD,2002-05-09,discretionary_review,843 South Van Ness Avenue,3594,22
2002.0198D,2002-05-09,discretionary_review,2337-2339 green street,559,40;41
2002.0321CD,2002-05-09,discretionary_review,3003/3005 23rd street,3640,1
2002.0323CD,2002-05-09,discretionary_review,3007/3009 - 23rd street,3640,1
2002.0323CD,2002-05-09,conditional_use,3007/3009 23rd street,3640,1
2000.718CEKV,2002-05-16,variance,1630 California Street and 1529 Polk Street,643,3
2000.790KEXCTZM,2002-05-23,downtown_project,888 Howard Street,3724,66
2001.0513D,2002-05-23,discretionary_review,2667 37th avenue,2459,17
2001.0645D,2002-05-23,discretionary_review,839 dolores street,3618,76
2001.1050D,2002-05-23,discretionary_review,3271 18th street,3591,18
2002.0187D,2002-05-23,discretionary_review,128 gambier street,5907,6
2002.0321CD,2002-05-23,discretionary_review,3003/3005 23rd Street,3640,1
2002.0323CD,2002-05-23,discretionary_review,3007/3009 23rd street,3640,1
2001.0947D,2002-05-30,discretionary_review,355 Country Club Drive,7274,1
2002.0314CV,2002-05-30,variance,4601 3rd street,5306,4;29
2001.0494CDV,2002-06-06,discretionary_review,1475-79 Folsom Street,3520,30B;30C
2002.0072D,2002-06-13,discretionary_review,1512 la playa,1894,39A
2002.0259DDDDD,2002-06-13,discretionary_review,536 presidio avenue,1031,22
2002.0556DD,2002-06-13,discretionary_review,2670 47th avenue,2450,22
2001.1126CV,2002-06-27,conditional_use,965-985 geneva avenue & 852 paris street,6409,5;6;7;8;9;10
2002.0151DEK,2002-06-27,discretionary_review,480 potrero avenue,3973,2C
2002.0191D,2002-06-27,discretionary_review,292 ivy street,809,14
2002.0702DDD,2002-09-17,discretionary_review,185-189 broad street,7113,23
2002.0831DD,2002-09-17,discretionary_review,946-948 elizabeth street,2807,15
2001.0551D,2002-09-26,discretionary_review,1782 quesada avenue,5327,27
2001.1152D,2002-09-26,discretionary_review,2429 14th avenue,2411,4
2002.0174,2002-09-26,discretionary_review,1515-18th avenue,1864,1E
2002.0718DDDDD,2002-09-26,discretionary_review,594 48th avenue,1497,16M
2002.0726D,2002-09-26,discretionary_review,2126 steiner street,635,12
2002.0803DDDD,2002-09-26,discretionary_review,281-285 edgewood avenue,2641,42;43
2002.0725DD,2002-10-03,discretionary_review,1170-1180 green street,122,12
2001.1126CV,2002-10-10,conditional_use,965-985 geneva avenue & 852 paris street,6409,5;6;7;8;9;10
2002.0452D,2002-10-10,discretionary_review,75 miraloma drive,2973,34
2002.0213D,2002-10-17,discretionary_review,1462 34th avenue,1820,31
2002.0575C,2002-10-24,conditional_use,3537-3561 19th Street,3596,104
2002.0772DDD,2002-11-14,discretionary_review,438 21st Avenue,1524,32
2002.0124CVR,2002-12-05,variance,2815 diamond street,6745,25A;26;27;28;29;63
