law,field,value,source_url,quote,pattern
_constitution,effective_rule,,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=CONS&sectionNum=SEC.%208.&article=IV,go into effect on January 1 next following a 90-day period from the date of enactment of the statute,go into effect on January 1 next following a 90-day period from the date of enactment of the statute
psa,target,,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=GOV&sectionNum=65950,shall approve or disapprove the project within whichever of the following periods is applicable,shall approve or disapprove the project within whichever of the following periods is applicable
haa,target,,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=GOV&sectionNum=65589.5,"This section shall be known, and may be cited, as the Housing Accountability Act","This section shall be known, and may be cited, as the Housing Accountability Act"
sb167,chapter,368,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201720180SB167,Senate Bill No. 167 CHAPTER 368,(?:Senate|Assembly) Bill No\. \d+ CHAPTER (?P<v>\d+)
sb167,enacted,"September 29, 2017",https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201720180SB167,"Approved by Governor September 29, 2017.","Approved by Governor (?P<v>[A-Z][a-z]+ \d{1,2}, \d{4})\."
sb167,target,,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201720180SB167,"SB 167, Skinner. Housing Accountability Act.","SB 167, Skinner\. Housing Accountability Act\."
sb167,eligibility,,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201720180SB167,This bill would require the findings of the local agency to instead be based on a preponderance of the evidence in the record,This bill would require the findings of the local agency to instead be based on a preponderance of the evidence in the record
ab678,chapter,373,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201720180AB678,Assembly Bill No. 678 CHAPTER 373,(?:Senate|Assembly) Bill No\. \d+ CHAPTER (?P<v>\d+)
ab678,enacted,"September 29, 2017",https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201720180AB678,"Approved by Governor September 29, 2017.","Approved by Governor (?P<v>[A-Z][a-z]+ \d{1,2}, \d{4})\."
ab678,target,,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201720180AB678,"AB 678, Bocanegra. Housing Accountability Act.","AB 678, Bocanegra\. Housing Accountability Act\."
ab1515,chapter,378,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201720180AB1515,Assembly Bill No. 1515 CHAPTER 378,(?:Senate|Assembly) Bill No\. \d+ CHAPTER (?P<v>\d+)
ab1515,enacted,"September 29, 2017",https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201720180AB1515,"Approved by Governor September 29, 2017.","Approved by Governor (?P<v>[A-Z][a-z]+ \d{1,2}, \d{4})\."
ab1515,target,,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201720180AB1515,"AB 1515, Daly. Planning and zoning: housing.","AB 1515, Daly\. Planning and zoning: housing\."
dbl,target,,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=GOV&sectionNum=65915,"shall grant one density bonus, the amount of which shall be as specified in subdivision (f)","shall grant one density bonus, the amount of which shall be as specified in subdivision \(f\)"
ab1763,chapter,666,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201920200AB1763,Assembly Bill No. 1763 CHAPTER 666,(?:Senate|Assembly) Bill No\. \d+ CHAPTER (?P<v>\d+)
ab1763,enacted,"October 09, 2019",https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201920200AB1763,"Approved by Governor October 09, 2019.","Approved by Governor (?P<v>[A-Z][a-z]+ \d{1,2}, \d{4})\."
ab1763,target,,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201920200AB1763,"AB 1763, Chiu. Planning and zoning: density bonuses: affordable housing.","AB 1763, Chiu\. Planning and zoning: density bonuses: affordable housing\."
ab2345,chapter,197,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201920200AB2345,Assembly Bill No. 2345 CHAPTER 197,(?:Senate|Assembly) Bill No\. \d+ CHAPTER (?P<v>\d+)
ab2345,enacted,"September 28, 2020",https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201920200AB2345,"Approved by Governor September 28, 2020.","Approved by Governor (?P<v>[A-Z][a-z]+ \d{1,2}, \d{4})\."
ab2345,target,,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201920200AB2345,"AB 2345, Gonzalez. Planning and zoning: density bonuses: annual report: affordable housing.","AB 2345, Gonzalez\. Planning and zoning: density bonuses: annual report: affordable housing\."
sb35,chapter,366,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201720180SB35,Senate Bill No. 35 CHAPTER 366,(?:Senate|Assembly) Bill No\. \d+ CHAPTER (?P<v>\d+)
sb35,enacted,"September 29, 2017",https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201720180SB35,"Approved by Governor September 29, 2017.","Approved by Governor (?P<v>[A-Z][a-z]+ \d{1,2}, \d{4})\."
sb35,target,,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201720180SB35,"SB 35, Wiener. Planning and zoning: affordable housing: streamlined approval process.","SB 35, Wiener\. Planning and zoning: affordable housing: streamlined approval process\."
