key,short_name,jurisdiction,full_cite,enacted_date,effective_date,effective_basis,operative_date,sunset_date,applies_to_sf,opt_in,eligibility_rule,target,category,category_name,secondary,source_url,verified,verdict
psa,Permit Streamlining Act,CA,Gov. Code 65920 et seq. (time limits: 65950),,,a code section in force; its enactment was not read,,,every development project needing a permit,no,,shall approve or disapprove the project within whichever of the following periods is applicable,2,delay given discretion,,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=GOV&sectionNum=65950,yes,not measurable here
haa,Housing Accountability Act,CA,Gov. Code 65589.5,,,a code section in force; its enactment was not read,,,housing development projects,no,,"This section shall be known, and may be cited, as the Housing Accountability Act",2,delay given discretion,4,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=GOV&sectionNum=65589.5,yes,not measurable here
sb167,SB 167 (HAA),CA,"SB 167 (Skinner), Stats. 2017, ch. 368",2017-09-29,2018-01-01,inferred,,,as the HAA,no,This bill would require the findings of the local agency to instead be based on a preponderance of the evidence in the record,"SB 167, Skinner. Housing Accountability Act.",2,delay given discretion,,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201720180SB167,yes,not measurable here
ab678,AB 678 (HAA),CA,"AB 678 (Bocanegra), Stats. 2017, ch. 373",2017-09-29,2018-01-01,inferred,,,as the HAA,no,,"AB 678, Bocanegra. Housing Accountability Act.",2,delay given discretion,,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201720180AB678,yes,not measurable here
ab1515,AB 1515 (HAA),CA,"AB 1515 (Daly), Stats. 2017, ch. 378",2017-09-29,2018-01-01,inferred,,,as the HAA,no,,"AB 1515, Daly. Planning and zoning: housing.",2,delay given discretion,,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201720180AB1515,yes,not measurable here
dbl,Density Bonus Law,CA,Gov. Code 65915,,,a code section in force; its enactment was not read,,,projects that elect it,yes,,"shall grant one density bonus, the amount of which shall be as specified in subdivision (f)",5,feasible envelope,,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=GOV&sectionNum=65915,yes,partially usable
ab1763,AB 1763 (density bonus),CA,"AB 1763 (Chiu), Stats. 2019, ch. 666",2019-10-09,2020-01-01,inferred,,,100% affordable projects that elect it,yes,,"AB 1763, Chiu. Planning and zoning: density bonuses: affordable housing.",5,feasible envelope,,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201920200AB1763,yes,not measurable here
ab2345,AB 2345 (density bonus),CA,"AB 2345 (Gonzalez), Stats. 2020, ch. 197",2020-09-28,2021-01-01,inferred,,,projects that elect the bonus,yes,,"AB 2345, Gonzalez. Planning and zoning: density bonuses: annual report: affordable housing.",5,feasible envelope,,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201920200AB2345,yes,not measurable here
sb35,SB 35,CA,"SB 35 (Wiener), Stats. 2017, ch. 366",2017-09-29,2018-01-01,inferred,,2026-01-01,"where the locality has not met its RHNA progress, as HCD determines (the determination is not in a statute and was not read)",yes,subject to a requirement mandating a minimum percentage of below market rate housing based on one of the following,"SB 35, Wiener. Planning and zoning: affordable housing: streamlined approval process.",1,arrival of discretion,,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201720180SB35,yes,partially usable
sb423,SB 423,CA,"SB 423 (Wiener), Stats. 2023, ch. 778",2023-10-11,2024-01-01,inferred,,2036-01-01,as SB 35,yes,,"SB 423, Wiener. Land use: streamlined housing approvals: multifamily housing developments.",1,arrival of discretion,,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202320240SB423,yes,partially usable
sb330,SB 330 (Housing Crisis Act),CA,"SB 330 (Skinner), Stats. 2019, ch. 654",2019-10-09,2020-01-01,inferred,,2025-01-01,housing development projects; the freeze needs a preliminary application,yes,more than five hearings pursuant to Section 65905,"SB 330, Skinner. Housing Crisis Act of 2019.",4,option term and vesting,2,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201920200SB330,yes,usable
